name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,linkedin,country,companyStatus
Avilo AS,https://www.eu-startups.com/directory/avilo-as/,Norway,"avilo is a technology company delivering IT solutions that simplify and optimize business operations. We’re known for Washd, our Norwegian-made digital laundry management system that automates sorting, tracking, and monitoring for industrial and commercial laundries. Beyond laundry, we provide cloud services, cybersecurity, custom software, and IT infrastructure, helping companies digitize and automate their processes. Our focus is on creating reliable, user-friendly technology that saves time, reduces costs, and drives sustainable growth.","avilo is a Norway-based technology company delivering innovative IT solutions that simplify complex processes and drive efficiency for businesses. Our flagship product, Washd, is a Norwegian-made digital laundry management system that automates sorting, tracking, and monitoring for industrial and commercial laundries. By combining IoT-enabled hardware, RFID technology, and cloud-based software, Washd helps clients reduce manual labor, cut operational costs, and optimize resource usage.
Beyond laundry, avilo offers a full range of IT services, including cloud consulting, cybersecurity, custom software development, and IT infrastructure solutions. We work closely with clients to identify opportunities for digitization and automation, designing technology that is reliable, scalable, and user-friendly.
With a strong focus on customer support and innovation, avilo has expanded from Norway to North Macedonia, building a skilled cross-border team. Our long-term vision is to continue expanding internationally, creating technology that not only boosts productivity but also promotes sustainability through smarter resource management.",Larvik,"digital transformation, IT solutions, laundry technology, automation",No funding announced yet,2019,https://avilo.no/en/,https://www.linkedin.com/company/avilono/?viewAsMember=true,NO,
Ask Zuro,https://www.eu-startups.com/directory/ask-zuro/,Norway,"Auralis is an enterprise AI platform that automates support workflows using multilingual agents, smart ticketing, and real-time analytics—reducing costs while improving resolution speed, consistency, and satisfaction.","Auralis is a secure, enterprise-grade AI platform that helps organizations automate and elevate customer support. It deploys multilingual AI agents across channels like chat, email, and voice to resolve high volumes of routine queries, while assisting human agents with summaries, triage, and real-time suggestions. With out-of-the-box integrations into platforms like Zendesk, Salesforce, Genesys, and internal CRMs, Auralis reduces support costs, accelerates response times, and improves customer satisfaction—all without disrupting existing systems. Designed for healthcare, retail, restaurant tech, and BFSI environments, Auralis helps teams scale smarter, not harder.",Molde,"AI, Customer Support, Support",Between €500K-€ 1 million,2022,https://auralis.ai/,https://www.linkedin.com/company/auralis,NO,Active
ListenAlert,https://www.eu-startups.com/directory/listenalert/,Norway,"Monitor and analyse conversations on Podcasts, YouTube, TikTok, TV, Radio, and more. Empower your strategy with precision insights, real-time data, and global reach in multiple languages.",,Norway,"media monitoring, media intelligence, AI, social media monitoring, podcasts",Between €1-€100K,2025,https://www.listenalert.com,https://www.linkedin.com/company/listenalert/?originalSubdomain=no,NO,Active
Breyta AS,https://www.eu-startups.com/directory/breyta-as/,Norway,Breyta AS: Your Qualitative Co-Pilot,"With Breyta AS, you no longer have to choose between speed and depth. This AI assistant empowers teams to analyze conversations at scale without sacrificing context. Upload recordings, define your research focus, and receive high-quality insights. Every conclusion is backed by verifiable timestamps, giving teams the clarity to act fast—and accurately.",Kolsås,"SaaS, startup, AI, research, qualitative research",Between €1-€100K,2025,https://www.breyta.ai/,https://www.linkedin.com/in/chrismoen1,NO,Active
.Metrics,https://www.eu-startups.com/directory/metrics/,Norway,Shaping the future of big data and AI-driven business intelligence.,"Today’s fragmented big data architecture is blocking the businesses from taking full advantage of AI. 
.Metrics reshapes the businesses big data arcitecture to unlock the potential inn AI and business intelligence. Gathering businesses big data in a unified AI data Hub.","Trondhei,","AI, BI, Big Data, Intelligence",Between €100K-€500K,2023,https://www.dotmetrics.io/,https://www.linkedin.com/company/dotmetrics-io,NO,Active
Founder-CRM,https://www.eu-startups.com/directory/founder-crm/,Norway,Founder-CRM: Manage Investor Relationships That Lead to Funding,"Founder-CRM is designed to help startups manage their investor relationships effectively. By maintaining consistent communication with potential investors, you can significantly increase your chances of securing funding. With features like contact management, quick search, and event tracking, you can stay organized and focused on building your startup. Start tracking your investor relationships today for just €10/month.",Oslo,investors funding founder,No funding announced yet,2024,https://founder-crm.cosac.io/,,NO,Active
Intellipush,https://www.eu-startups.com/directory/intellipush/,Norway,"Intellipush is a global mobile engagement platform that empowers businesses to connect with their audiences through personalized, real-time messaging. Specializing in SMS, the company leverages advanced technology, robust API integration, and data-driven insights to drive customer engagement, boost retention, and fuel revenue growth. With its comprehensive suite of marketing solutions and seamless integration capabilities, Intellipush enables brands to deliver targeted messages at the right moment, ensuring meaningful interactions and a strong competitive edge in today’s digital landscape. For more details, visit www.intellipush.com",,"Ostfold, Fredrikstad","Consulting, Sms, Unified Communications, Sms Marketing, Customer Engagement, Mobile Marketing, Marketing, SaaS, Software As A Service, CRM",No funding announced yet,2013,https://www.intellipush.com,,NO,
Thread4,https://www.eu-startups.com/directory/thread4/,Norway,"Build your own API or Webhooks effortlessly by creating gateways, routes, and functions. Powered by Python and FastAPI for lightning-fast performance. Fully hosted and operated in the EU. Create your custom [email protected] domain.",,Oslo,"API, Python, Thread4, SaaS",No funding announced yet,2024,Thread4,,NO,Idea Stage
Mini Golf Spots,https://www.eu-startups.com/directory/mini-golf-spots/,Norway,Discover and compare the best Mini Golf Courses in your area,"Mini golf is a fun and exciting activity for all ages, whether you’re looking for a family-friendly outing, a date night idea, or a competitive game with friends. With so many courses available, each offering unique themes, obstacles, and challenges, finding the best mini golf experience in your area can take time.
Our platform makes it easy to discover and compare the top-rated mini golf courses near you. Whether you prefer a classic, simple course or an elaborate, themed adventure with waterfalls, tunnels, and glow-in-the-dark features, we provide insights into local options. Browse customer reviews, compare pricing, and check out available amenities like food, arcade games, or party packages.
No matter your skill level, mini golf is a great way to enjoy a day out, and we help you find the best course to suit your preferences. Start exploring now and find the perfect mini golf spot near you!",Trondheim,"golf,mini golf,mini golf courses,directory",No funding announced yet,2024,https://minigolfspots.com/,,NO,Active
Ceramic Coating Shops,https://www.eu-startups.com/directory/ceramic-coating-shops/,Norway,Discover and compare the best ceramic coating services for your vehicle,"Protecting your vehicle’s paint with a high-quality ceramic coating can enhance its shine, durability, and resistance to dirt, water, and UV rays. However, with so many service providers available, choosing the right one can be a challenge. Whether you’re looking for a premium ceramic coating for long-lasting protection or a budget-friendly option for short-term enhancement, comparing services is key to making the best decision.
Our platform allows you to easily discover and compare the best ceramic coating services in your area. Browse top-rated providers, explore pricing, and read real customer reviews to ensure you get the best value for your investment. Whether you drive a luxury car, a daily commuter, or an off-road vehicle, we help you find a service that suits your needs and budget. Don’t settle for subpar protection—find a trusted ceramic coating specialist and keep your car looking flawless for years to come.",Oslo,"cars,auto,automotive services,ceramic coating",No funding announced yet,2024,https://ceramiccoatingshopsnearme.com,,NO,Active
