name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country
MarketAlerts.ai,https://www.eu-startups.com/directory/marketalertsai/,Slovenia,AI-powered market monitoring and analysis,Use AI to monitor your stocks 24/7 and notify you of must-know updates. Automate the search for trade ideas that match your style. Uncover market patterns and receive alerts the moment they occur.,"Ljubljana, Slovenia","Stocks, Finance, Investing, Fintech, SaaS, AI",No funding announced yet,2025,https://www.marketalerts.ai/,Active,https://www.linkedin.com/company/101353789,SI
Lailai Therapy,https://www.eu-startups.com/directory/lailai-therapy/,Slovenia,"In-person psychotherapy, 10-20x cheaper. Gig economy platform where ordinary people can learn psychotherapy and work as psychotherapists, and those suffering from ill mental health can book appointments and meet in person or online to receive psychotherapy from them, equal to professionals but at a fraction of the cost. Gig workers set their price and the platform takes a cut. In-app brief courses built on clinically proven Harvard Medical School mental health for all lab programs to train lay therapists allow gig workers to learn evidence-based psychotherapy techniques; gamification and LLMs are used to support workers in learning and supervision. It dramatically increases the availability of psychotherapy while significantly reducing its price, unlocking vast economic potential. Unconstrained by local regulations given the term lay therapist is not protected by law, it solves the massive problem of lack of access to mental health services worldwide.",,Bratislava,"Affordable Mental Healthcare, Lay Therapist Services, Online and In-Person Therapy",Between €100K-€500K,2023,https://www.lailaitherapy.com/,Active,https://www.linkedin.com/company/lailai-therapy/,SI
Socialeasator,https://www.eu-startups.com/directory/socialeasator/,Slovenia,"Socialeasator operates on a hybrid business model that combines social impact and revenue generation. The platform connects individuals in crisis or social need with specialists, resources, and supportive communities through digital tools such as advisory services, fundraising, and networking features. Revenue streams include a 3% fee on advisory and fundraising tools, premium account subscriptions, advertising, and voluntary donations, all of which are reinvested into building social service centers and expanding global outreach. By integrating gamification and user-centric features, Socialeasator ensures sustained engagement and meaningful impact.",,Piešťany,"Community-Driven Social Support, Crowdfunding for Social Causes, Digital Social Services Platform, Inclusive Crisis Assistance",Between €100K-€500K,2024,https://www.socialeasator.com/,Active,,SI
GOVAR SPEAKING PRACTICE CLUB,https://www.eu-startups.com/directory/govar-speaking-practice-club/,Slovenia,"We created a mobile app that helps people find English speaking practice with other people from different countries. In 2-4 weeks users become more fluent, confident and stop being afraid. After each session we provide AI feedback with mistakes user made and recommendations how to fix it.",,Bratislava,"Online English Speaking Club, Real-Time Conversation Sessions, Confidence-Building Communication",Between €100K-€500K,2024,https://govar.online/,Active,https://www.linkedin.com/company/govar-app/,SI
Quantifly,https://www.eu-startups.com/directory/quantifly/,Slovenia,"Quantifly provides HR and management consulting businesses with an organizational diagnostics platform to support their clients in gaining the necessary insights and devising recommendations for improving organizational structure, culture, and dynamics. This results in more productive teams and more engaged employees.",,Ljubljana,"Organizational Diagnostics, Employee Engagement, Team Dynamics Optimization, Data-Driven HR Insights",Between €100K-€500K,2021,https://www.quantifly.net/,Active,https://www.linkedin.com/company/quantifly-organizational-diagnostics/,SI
Truecall,https://www.eu-startups.com/directory/truecall/,Slovenia,"TrueCall operates on a subscription-based business model with a strong focus on the B2B segment. Our technology leverages advanced AI algorithms to provide real-time emotional and behavioral analysis during virtual interactions, such as video conferences or interviews. For B2B, we deliver scalable solutions tailored for HR departments, marketing agencies, and corporate, enabling better decision-making and deeper insights. While we also offer affordable monthly plans for B2C users, our primary emphasis remains on creating value for businesses through our AI-driven platform.",,Ljubljana,"Enterprise AI Solutions, Secure AI Collaboration, Context-Aware Agents",Between €100K-€500K,2023,http://lietome.ai/,Active,https://www.linkedin.com/company/lietome/,SI
PeakBeats,https://www.eu-startups.com/directory/peakbeats/,Slovenia,"PeakBeats is a groundbreaking fitness app that uses AI to adapt existing music in real time based on your biometric data. By syncing music tempo, rhythm, and energy with your heart rate, pace, and workout goals, PeakBeats transforms exercise into a fully personalized and immersive experience. Unlike traditional playlists, the app dynamically adjusts music to boost motivation, enhance performance, and ensure consistency, making every workout uniquely tailored to your body and goals. PeakBeats redefines fitness by leveraging the power of adaptive music to inspire and empower users.",,Ljubljana,"AI-Driven Adaptive Music, Real-Time Fitness Soundtracks, Motivation Boosting Technology",Between €100K-€500K,2024,https://www.peakbeats.com/,Active,https://www.linkedin.com/company/peak-beats/,SI
aitryon-art.Inc,https://www.eu-startups.com/directory/aitryon-art.inc,Slovenia,"Discover AI Try On, a free online tool that lets you quickly try on outfits and effortlessly design your wardrobe. Experience true virtual try on technology for fast and convenient fashion experimentation.","AI Try On is a free online tool that allows users to try on outfits and design their wardrobe. It utilizes virtual try on technology to provide fast and convenient fashion experimentation. The software integrates advanced AI models for outfit simulations and promotional image creation. It also offers features like precise detection of facial, body, and pose features, diverse virtual try on models, enhanced interactive experience, AI-powered design assistance, and customization services for enterprise-level fashion solutions.",Trowbridge,AI try on、virtual try on、kolors try on,No funding announced yet,2024,https://aitryon.art/,Active,,SI
X1 Pipeline,https://www.eu-startups.com/directory/x1-pipeline/,Slovenia,"X1 Pipeline is an AI-powered platform that helps startups raise capital and investors find better deals, faster. Startups get scored on their investability, matched with the right investors, and gain access to tools that improve their pitch. Investors get instant insights, smart deal flow, and startup profiles built for decision-making. It’s everything founders and investors need—on one data-driven, easy-to-use platform.",,Ljubljana,"AI, Fundraising, Startup, Investor",No funding announced yet,2024,www.x1pipeline.com,Active,http://www.linkedin.com/company/x1pipeline,SI
StartupCMO,https://www.eu-startups.com/directory/startupcmo/,Slovenia,Take your startup from chaos to clarity with Fractional CMO Services for SaaS and B2B startups that are ready to scale.,"StartupCMO helps visionary founders and CEOs turn marketing chaos into clarity—and clarity into traction.
If you're a B2B startup or scaleup with a strong product and early signs of traction, but your marketing feels scattered, reactive, or disconnected from revenue—you’re not alone. That’s where StartupCMO comes in.
Led by Brian Fleming, a seasoned B2B marketing leader with over 20 years of experience, StartupCMO offers fractional Chief Marketing Officer (CMO) services that combine strategic insight with hands-on execution. You get executive-level marketing leadership—without the full-time cost or complexity of hiring a permanent CMO.
We help early- and growth-stage companies:
Clarify messaging and positioning to connect with the right audience
Build scalable demand generation engines
Align marketing with sales and product for faster customer acquisition
Launch and scale go-to-market strategies
Uplevel internal marketing talent and leadership
Make smarter, data-informed growth decisions
Whether you're refining your product-market fit, entering new markets, or preparing for a fundraise, StartupCMO provides the clarity, structure, and focus needed to grow with confidence.
Our services are tailored for B2B SaaS and tech startups who are ready to scale but need experienced marketing leadership to make it happen. We specialize in areas like:
Demand Gen & Product Marketing
Messaging & Strategic Positioning
Go-to-Market Strategy
Marketing Ops & Analytics
UX Optimization
Interim CMO & Team Leadership
Our approach is grounded in strategy but built for execution—because great plans mean nothing without action.
Let’s clear the noise, sharpen your strategy, and unlock your next stage of growth.
Ready to clarify and focus your marketing so you can scale with confidence? Let's talk.",Ljubljana,"marketing, strategy, UX, messaging",No funding announced yet,2024,https://startupcmo.co,,https://www.linkedin.com/company/fractional-startupcmo,SI
