name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,country,linkedin
MyNextInk,https://www.eu-startups.com/directory/mynextink/,Netherlands,The all-in-one tattoo platform,"MyNextInk is the best one-in-all tattoo platform. Discover unique tattoo ideas, create your own custom designs with our AI tattoo generator, and try them on virtually—so you're certain you'll love them for life.
Key Features
- Find Tattoo Ideas: Browse thousands of ready-made designs across every style and theme, so you never run out of inspiration.
- Generate Custom Tattoo Designs: Tell the AI what you want, and it instantly creates unique tattoo ideas based on your words.
- Edit Tattoo Designs: Change colors, adjust details, and fine-tune every element until the design feels 100% yours.
- Try On Tattoos: Use the virtual try-on tool to see how tattoos look on your skin before making a decision.
- Free, Day Pass & Premium Access: Start for free, unlock all features with a day pass, or go unlimited with a flexible premium plan.
Benefits
- One Platform, All You Need: Stop jumping between Pinterest, Instagram, and random Google searches. MyNextInk puts thousands of tattoo ideas, a custom AI generator, and a virtual try-on all in one place.
- Avoid Regret Later: Tattoos are forever—don’t risk hating yours in 10 years. With endless ideas, custom designs, and a realistic preview, you’ll be sure you’re making the right choice.
- Create Without the Wait: No more endless back-and-forth with your artist. Make changes instantly, try different versions, and land on a design you love—before you ever step into the studio.
- See It Before You Ink It: Use the virtual try-on tool to place your tattoo on your skin, adjust the size and placement, and walk into the studio with total confidence.
- Accessible for Everyone: Try it completely free, grab a quick day pass if you just need ideas now, or go premium for unlimited designs—plus a 100% money-back guarantee if you’re not happy.
- Trusted by Thousands: Over 5,000 people have already used MyNextInk to dodge bad tattoos and find designs they actually love for life.",Amsterdam,"Lifestyle, Fashion, Art, Design",No funding announced yet,2025,https://www.mynextink.com/,Active,NL,
LaizyDoc,https://www.eu-startups.com/directory/laizydoc/,Netherlands,"LaizyDoc speeds up document creation with AI-powered automation. Designed for startup founders, product managers, and consultants, our platform turns your ideas into professional documents in minutes. Whether you need a lean canvas for MVP validation, a pitch deck for investors, or detailed PRDs for development teams, LaizyDoc eliminates the guesswork and saves weeks of work. Perfect for startup founders creating comprehensive strategies, product managers generating sprint-ready documentation, and consultants delivering client presentations. With AI-powered technology handling the heavy lifting, users can focus on what matters most—building and growing their business.",,Leiden,"ai, document generator, business strategy",No funding announced yet,2025,https://laizydoc.com,Active,NL,
Researchable | Strategic AI- & Data-partner,https://www.eu-startups.com/directory/researchable-strategic-ai-data-partner/,Netherlands,"Researchable | Strategic AI- & Data-partner

Data Innovation agency with scientific background. We help you envision, design and build impactful software applications in which the handling of data is at core.","Researchable is your strategic partner in data, AI, and innovation. We develop custom software and data architectures with proven impact in healthcare, science, sustainability, sports, and government. Our experts combine technical depth with a practical approach, always keeping an eye on the societal value of data. With an ISO 27001-certified team, personal contact, and an open, down-to-earth work attitude, we support clients both behind the scenes and in practice.",Groningen,"Strategic AI, Data-partner, Data Innovation agency,",No funding announced yet,2018,researchable.nl,Active,NL,https://nl.linkedin.com/company/researchablenl
EmailConnect.eu,https://www.eu-startups.com/directory/emailconnecteu/,Netherlands,"EmailConnect is an inbound-only email processing service that converts received emails into structured webhook data. The service parses email content into JSON format, processes attachments inline or to object storage, and delivers data to webhook endpoints. 

100% EU-operated, fully GDPR proof.","EmailConnect is an inbound-only email processing service that converts received emails into structured webhook data. The service parses email content into JSON format, processes attachments inline or to object storage, and delivers data to webhook endpoints.
Use cases:
* Support ticket automation: automatically process e-mails sent to support@yourdomain using AI powered workflow platforms like n8n or Zapier
* Invoice processing automation: automatically extract relevant information from received PDF invoices and store required data in your bookkeeping software
* Customer feedback processing: automatically add bug reports of feature requests to your product roadmap
100% EU-operated, fully GDPR proof.",Leiden,Turn emails into webhooks,No funding announced yet,2025,https://emailconnect.eu,Active,NL,
SimpleURL â Free URL Shortener,https://www.eu-startups.com/directory/simpleurl-free-url-shortener/,Netherlands,"SimpleURL offers a fast and free way to turn long, messy URLs into clean, memorable short links. With our public URL shortener, you can create custom aliases, share links anywhere, and track clicks with built-in analytics — all without creating an account. Whether you’re sharing on social media, sending in emails, or posting in online forums, our tool makes your links look professional and easy to remember. Just paste your long URL, choose a short alias, and start sharing instantly.",,Amsterdam,"Free URL Shortener, Link Shortener",No funding announced yet,2025,https://www.simpleurl.tech,Active,NL,https://linkedin.com/company/simple-url
Rolo Administratie & Advies,https://www.eu-startups.com/directory/rolo-administratie-advies/,Netherlands,"Rolo Administratie & Advies is jouw partner in boekhouding, belastingaangiftes en financieel advies voor zzp’ers, eenmanszaken, VOF’s en BV’s. Vanuit Hengelo bedienen we klanten door heel Nederland met duidelijke tarieven, persoonlijk contact en een efficiënte werkwijze. Of het nu gaat om btw-aangifte, inkomstenbelasting of het volledig uitbesteden van je administratie: wij zorgen dat je cijfers kloppen, deadlines worden gehaald en jij je kunt focussen op ondernemen. Wij combineren kennis van zaken met toegankelijke communicatie, zonder vakjargon. Altijd bereikbaar, altijd betrokken.",,Hengelo,"Boekhouden, Accountant, Bookkeeping",No funding announced yet,2025,https://rolo-administratie.nl,Active,NL,
GrowSSolo,https://www.eu-startups.com/directory/growssolo/,Netherlands,GrowSolo is the complete digital operating system designed specifically for independent service providers.,"GrowSolo is the complete digital operating system designed specifically for independent service providers. From managing clients and scheduling jobs to sending professional invoices, our comprehensive platform provides everything you need to streamline operations and boost revenue.",Amsterdam,"Saas, Productivity",No funding announced yet,2025,https://growsolo.online/,Idea Stage,NL,
CompanyData.com,https://www.eu-startups.com/directory/companydata.com,Netherlands,"CompanyData.com delivers trusted global B2B data with coverage of over 380 million verified companies in 200+ countries. Our datasets include firmographics, industry classifications, company structures, and accurate contact information. Whether for CRM enrichment, lead generation, compliance, or AI training, we offer GDPR-compliant data via API, file, or custom enrichment—tailored to your business needs.","CompanyData.com is a leading global provider of verified B2B company data, trusted by businesses in over 80 countries. With access to a database of more than 380 million company records across 200+ countries and territories, we help organizations unlock powerful business intelligence to fuel smarter growth, better decision-making, and global market expansion.
Our data is sourced directly from official trade registers and authoritative business sources, ensuring maximum accuracy, compliance, and reliability. Each dataset includes rich firmographic details such as company name, legal structure, registration number, revenue, and employee size—alongside industry classifications like NACE, SIC, and NAICS codes. We also offer company hierarchy insights (parent and subsidiary relationships) and verified contact information, including emails, phone numbers, postal addresses, mobile numbers, and key decision-makers where available.
Whether you’re building precise B2B email lists, enhancing your CRM, conducting due diligence, ensuring regulatory compliance, or training AI models with real-world business data, CompanyData.com provides flexible solutions to match your workflow. Data is delivered via API, Excel/CSV export, or through our custom enrichment services, all tailored to your criteria—including geography, industry, company size, and contact role.
Since 2013, we’ve supported over 5,000 clients, including Fortune 500 companies, marketing agencies, financial institutions, and tech startups. All data is GDPR compliant, continuously verified, and updated to reflect real-time changes in the global business ecosystem.
CompanyData.com is your strategic partner for high-quality, structured business data—designed to scale with you.",Amsterdam,B2B Data,Between €100K-€500K,2025,https://companydata.com/,Active,NL,https://www.linkedin.com/in/daanwolffbolddata/
ZZP Pulse,https://www.eu-startups.com/directory/zzp-pulse/,Netherlands,"Track inkomsten, uitgaven, kilometers én uren in één 100 % offline app. Eerste maand gratis, daarna € 5,99. Maak je boekhouder blij met perfecte exports.","ZZP Pulse is dé administratie-app voor Nederlandse freelancers. Scan bonnetjes in 10 sec, registreer kilometers en uren automatisch en exporteer alles boekhouder-proof. 100 % offline & GDPR-proof. Start vandaag gratis.",Amsterdam,"Boekhoud, finance, app, accounting",No funding announced yet,2025,zzp-pulse.nl,Active,NL,
Accounts Draft,https://www.eu-startups.com/directory/accounts-draft/,Netherlands,Purpose-built AI for accountants.,"Accounts Draft is a purpose-built AI tool designed for accountants. It automates repetitive tasks, streamlines workflows, and boosts accuracy, allowing professionals to focus on strategic decisions. Say goodbye to manual data entry and hello to intelligent automation in your accounting processes.",Amsterdam,"Fintech, financial accounting",No funding announced yet,2025,https://www.accountsdraft.com/,Active,NL,
