name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country
Web3-Analyzer,https://www.eu-startups.com/directory/web3-analyzer/,Cyprus,"Web3-Analyzer is an AI-powered tool that automates blockchain project audits, delivering instant credibility checks and red flag alerts. Save time, ensure transparency, and confidently share data-backed reports with stakeholders.","Web3-Analyzer is your go-to AI-powered platform for automated blockchain project analysis, designed to streamline due diligence and eliminate guesswork. 
By instantly auditing projects for credibility, transparency, and seriousness, Web3-Analyzer highlights potential red flags and generates clear “go/no-go” recommendations. Saving you hours compared to manual review. Whether you’re an investor, stakeholder, or project evaluator, you’ll benefit from rapid, data-backed insights and easily shareable reports that boost confidence in your decisions. 
With flexible pricing, choose between a monthly subscription (including 10 analyses per month) or take control with our new self-hosted analyzer option.
Dive deeper with example reports and comprehensive documentation. 
Developed by Dezentrale Ltd., Web3-Analyzer is continuously enhanced, with upcoming updates aimed at even more robust verification and security checks. 
Start your free trial today and experience the smarter, faster way to assess blockchain projects—no manual effort required.",Larnaca,"web3,dueDiligence,audit,blockchain",No funding announced yet,2025,https://www.web3analyzer.io,Active,https://www.linkedin.com/in/danielmueller-nftcompass/,CY
RERA.CY â Cyprus First Smart Real Estate Markeplace,https://www.eu-startups.com/directory/reracy-cyprus-first-smart-real-estate-markeplace/,Cyprus,"RERA PropTech is a next-generation digital marketplace transforming property transactions in Cyprus. Our platform unifies residential and commercial listings with built-in multi-language support (Greek, English, Russian), free CRM tools, a verified agency network, and powerful lead-generation interfaces to accelerate growth for real estate professionals","In a market where property seekers grapple with scattered listings and fragmented communication channels, RERA PropTech’s mission is clear: make property search in Cyprus seamless and efficient for tenants, buyers, and sellers alike. We aggregate every residential and commercial listing into one intuitive platform—enabling users to rent, buy, or sell with just a few clicks.
RERA PropTech offers a consumer-centric experience featuring:
– Fully native languages: Greek, English, and Russian across listings, messaging, reviews, and articles.
– Simple messaging: Effortless chats that connect clients, owners, and agents in an organized, intuitive interface.
– Flexible search filters: Granular parameters by property type, location, and nearby infrastructure for lightning-fast discovery.
– Transparent cost history & favorites: Track price changes, save favourites, share collections, and receive alerts on new matches.
– Comprehensive agent directory: Profiles with ratings and portfolios ensure clients find only trusted professionals.
For agencies, our platform is the ultimate growth engine:
– Free built-in CRM: Manage listings, leads, teams, and documents; schedule viewings; and automate newsletters—all without extra fees.
– Seamless CRM integrations: Keep your existing system in sync with RERA PropTech so listings stay up-to-date everywhere.
Verified network & exclusive low-cost listings: Join an elite group of vetted professionals and access preferential listing rates.
Lead-generating interface: Designed to convert property views into high-quality inquiries and close deals faster.
As the “next big thing” in real estate tech, RERA PropTech is already reshaping the Cypriot property market with rapid expansion and strong early traction. Registered in Estonia as RERA PropTech OÜ, we’re primed to scale across the Eastern Mediterranean, delivering exceptional ROI through subscription and listing-fee revenue streams. Join us in revolutionizing Cyprus’s €10 billion real estate sector.",Limassol,"proptech, marketplace, real estate, ai",No funding announced yet,2025,https://rera.cy,Active,https://www.linkedin.com/company/rera-cy,CY
Try Free Tool,https://www.eu-startups.com/directory/try-free-tool/,Cyprus,"Discover a collection of 100% free, high-quality tools made to boost your productivity, marketing, operations, and more.","Try Free Tool is a versatile platform providing a suite of free online tools to streamline various digital tasks. Likely catering to a broad audience, including developers, testers, students, and office workers, it offers utilities such as URL shortening, secure password creation, DNS lookups, image editing, and code formatting for languages like JSON, CSS, and HTML. The platform emphasizes user-friendly interfaces, fast performance, and accessibility without requiring sign-ups or subscriptions. Tools are designed to enhance productivity by simplifying complex tasks like email validation, image compression, and timestamp conversion. While specific details about Try Free Tool’s full range of offerings are not explicitly documented, it likely aligns with similar platforms that prioritize free, reliable, and efficient solutions for everyday online needs, with no hidden costs and a focus on ease of use across devices via standard browsers.",Larnaka,Online Tools . Productivity Tools . Developer Tools,No funding announced yet,2025,https://tryfreetool.com/,Active,,CY
Evernomic,https://www.eu-startups.com/directory/evernomic/,Cyprus,"We build, back and buy startups that align with our strategic capabilities.","Evernomic partners with visionary founders to build exceptional companies across European markets. As a venture studio, we don’t just invest capital – we roll up our sleeves and work alongside entrepreneurs, providing hands-on support in go-to-market strategy, operational scaling, and business development. Our initial investments typically range up to €100k, backed by our deep operational expertise and proven growth playbook.
While we’re sector agnostic, we’re highly selective in our partnerships, carefully evaluating how each opportunity resonates with our current portfolio and capabilities. Our talent pool, primarily composed of successful ex-founders, enables us to place experienced operators in pivotal roles across our ventures. Beyond building and backing startups, we broker acquisitions of profitable digital assets through our private network and exclusive partnerships with leading marketplaces like Flippa and Microns. Whether launching new ventures or accelerating existing ones, we combine our strategic resources with founders’ domain expertise to create the conditions for transformative growth.",Paphos,"Venture Studio, SaaS, Acquisitions, Private Equity",No funding announced yet,2023,https://evernomic.com,Active,https://www.linkedin.com/company/evernomic/,CY
CamWork,https://www.eu-startups.com/directory/camwork/,Cyprus,"Онлайн-студия, регистрация и поддержка пользователей для работы в вебкам.","CamWork.club — онлайн-сервис, предлагающий регистрацию и поддержку на всех этапах работы в вебкам индустрии.
Мы предоставляем большой выбор площадок для работы с аудиторией из разных стран, обучение от опытных кураторов, индивидуальные настройки профилей и помощь в создании комфортных условий для ведения трансляций.",Nicosia,"money, work girls, work at home.",Between €100K-€500K,2006,https://camwork.club/,Active,,CY
TECH-TITANS CREATIVE TECHNOLOGY HUB,https://www.eu-startups.com/directory/tech-titans-creative-technology-hub/,Cyprus,"TechTitans.cloud is a digital platform offering gamified learning experiences in creative technology fields such as animation, game design, and digital marketing, combined with a recruitment hub that connects learners to real job opportunities.","TechTitans.cloud is an online platform designed to support learning and career development in creative technology sectors, including animation, game development, and digital marketing. The platform provides interactive, gamified educational content tailored to skill-building and practical application. What sets TechTitans apart is its integrated recruitment feature, which allows learners to connect directly with companies seeking creative tech talent. By merging structured learning paths with career opportunities, TechTitans.cloud functions as both a skills development hub and a talent discovery tool. It is designed for students, early-career professionals, and employers looking to bridge the gap between training and real-world work in creative tech industries.",Cyprus,"e-learning, game, design, recruitment, career, webdev, engineering, hub, creative, technology, talent, unity, zbrush, ui, ux, marketing, animation",No funding announced yet,2024,https://techtitans.cloud/,Active,https://www.linkedin.com/company/techtitanscreativetechnologyhub,CY
Kumo,https://www.eu-startups.com/directory/kumo/,Cyprus,"Deal Aggregation from thousands of brokers and marketplaces, streamlining the SMB Acquisition search process.","Kumo (withkumo.com) is a prominent deal sourcing platform tailored for professionals in the Entrepreneurship through Acquisition (ETA) and small-to-medium business (SMB) acquisition space. It aggregates over 100,000 active business-for-sale listings from a multitude of sources, including marketplaces, brokerages, and proprietary channels, providing users with a centralized and efficient search experience.",Larnaka,"SaaS, Marketplace, SMB, Entrepreneurship Through Acquisition (ETA)",Between €1-€100K,2022,https://www.withkumo.com/,Active,https://www.linkedin.com/company/withkumo,CY
Rinnoco Ltd,https://www.eu-startups.com/directory/rinnoco-ltd/,Cyprus,"Rinnoco LTD is a research, innovation, and education consulting company, which enables the development of new unique products from design to deployment targeting international markets.

Founded in 2021, Rinnoco is a startup company based in Limassol, Cyprus, with unique expertise due to its broad experienced team in both academic and industry. The founders of the company have over 30 years of diverse research experience, including SQL and NoSQL databases, big data and data streams, spatiotemporal systems, mobile computing, sensor networks and internet of things (IoT), machine learning applications, quantum mechanics, and significant scientific contributions published in international top-tier conferences and scientific journals.

Rinnoco LTD’s vision is to become the first of the kind company in Cyprus, which develops state-of-the-art data management techniques and provides novel data management tools that can boost the productivity, profitability, and scalability of local and international companies.","Rinnoco focuses on creating data storage tools and platforms that can reduce the storage space utilizing state-of-the-art techniques. The motivation behind this effort is the observation that the volume of stored data doubles every year, but the storage capacity costs decline only at a rate of less than ~1/5 per year. You can find more details on our website (https://rinnoco.com/). Currently, we are at the stage of the basic research and prototyping of our first tool (SIBACO). We got a very small grant from the Research and Innovation Foundation in Cyprus that allowed us to conduct the basic research of our first tool showing encouraging results with ~4%-7% savings (we also got one paper published at SMDB 2023
collocated with ICDE 2023 and one at ADBIS 2023).
We are building two software tools as the first part of our long-term plan. The two tools are:
1. A Signature Based Compression tool, which can achieve higher compression ratios by combining and compressing columns/rows differently based on the characteristics of the data (e.g., type and distribution of data). This is a standalone tool that can be used during the ingestion of the data in any system. It breaks the data into groups of columns/rows and attempts to apply on individual groups the most suitable compression scheme (e.g., GZIP, SNAPPY, LZMA, BZIP, ZSTD) to reduce the storage
space. Our preliminary experimental evaluation of our first prototype using three compression algorithms and two real datasets, we observed reduction in storage space, up to ~4% against the competitors (https://rinnoco.com/projects/sibaco.html).
2. A Data decay tool, which is utilizing Data Postdiction to reduce the storage space. Particularly, data postdiction is using machine learning models (e.g., LSTMs) to capture the essence of the past through its short and long-term dependencies, similarly to how the brain retains both recent information and important old information at a high resolution. The system trains ML models and then removes the data from the storage media, but keeps the models in order to ""predict past values"" (postdict) to recover the original data. The experimental results from my PhD research shows that Data postdiction saves an order of magnitude of storage space, for storing ∼10GB anonymized real telco network trace, while maintaining a high accuracy on the recovered data.
Rinnoco's ultimate goal is to integrate these tools in a modified database such as Apache Cassandra and our business model is mainly to deliver this solution as Platform as a Service (B2B PaaS) with the data management tools being independent software packages on a subscription basis.",Limassol,"big data, data storage, data management",No funding announced yet,2021,https://rinnoco.com/,Active,https://www.linkedin.com/company/rinnocoltd/,CY
Chain Leads,https://www.eu-startups.com/directory/chain-leads/,Cyprus,"ChainLeads is an all-in-one marketing partner for Web3 ventures — built to fuel powerful launches, consistent growth, and lasting brand value.

 - Our core capabilities include:

 - Crafting bespoke marketing strategies specifically for the Web3 ecosystem

 - Running high-impact influencer campaigns that spark real community interaction

 - Driving premium traffic via advanced media buying and performance marketing

 - Boosting visibility and trust with precision-targeted crypto PR

 - Designing high-converting websites and landing pages that turn visitors into users

 - Expanding organic reach through SEO and standout social content

 - Providing expert advisory to guide your project through every phase of growth

We don’t just create buzz — we build traction, credibility, and results that matter.",,Limasol,"crypto marketing, Web3 marketing, crypto PR, growth, branding",No funding announced yet,2024,https://chainleads.io/,Active,,CY
ActionRun,https://www.eu-startups.com/directory/actionrun/,Cyprus,"ActionRun — or simply ''GTA For Outdoor Activities'', is a gamified mobile app that turns jogging, walking, running & biking into cinematic, story-driven, action-packed secret agent & old-school gangster missions.","ActionRun — or simply ''Netflix For Outdoor Activities'', is a gamified mobile app that turns jogging, walking, running & biking into cinematic, story-driven, action-packed secret agent & old-school gangster missions. Inspired by classic Hollywood crime films, ActionRun offers 80+ missions across 3 genres: action, comedy, experimental. You don't just walk or run - you spy, chase, escape, dodge bullets, Yakuza swords, pitbulls, and save your homeland—or follow the footsteps of Tony Soprano and Pablo Escobar as a mobster with honor.",DE,"cynematic, running, mobile app",Between €1-€100K,2025,https://actionrun.app/,Active,https://www.linkedin.com/in/nick-darker-never-quits,CY
