name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,country,linkedin
Evotym,https://www.eu-startups.com/directory/evotym/,Latvia,"Evotym offers recruitment, executive search, and outstaffing services for companies in Fintech, Payments, Crypto, and iGaming across Europe and international markets.","Scaling in Fintech, Payments, Crypto, or iGaming requires more than just hiring - it demands the right people, in the right roles, at the right time. Evotym supports fast-growing companies with structured hiring solutions that align with business growth and evolving market dynamics. With a combination of deep industry insight and flexible service models, Evotym Team helps companies navigate challenges such as cross-border hiring, speed to hire, and team scalability. Each solution is tailored to the company’s operational setup, supporting both long-term talent planning and short-term hiring needs.",Latvia,"Recruiting, Human Resources, Outsourcing",No funding announced yet,2023,https://www.evotym.com,Active,LV,
Mailerio,https://www.eu-startups.com/directory/mailerio/,Latvia,"Reduce bounce rates, improve deliverability, and protect your sender reputation with a real-time email validation tool.","""Keep your email lists clean with Mailerio, the affordable email validation tool that helps reduce bounce rates, improve deliverability, and protect your sender reputation. Whether you’re launching a campaign or collecting leads, Mailerio ensures your emails reach real people, not spam folders or dead inboxes.
Mailerio helps you avoid blacklists and maintain a strong sender reputation by identifying and removing invalid, risky, or duplicate email addresses from your lists. By cleaning your list, you save money on email marketing, reduce wasted sends, and boost ROI by reaching only engaged, active users.
You can upload email lists in bulk and verify them manually in seconds, no technical skills required. Each email is sorted as deliverable, undeliverable, risky, duplicate, blacklisted, or greylisted, so you can take action quickly. For ongoing protection, Mailerio’s real-time API integrates easily with your forms, CRM, or signup tools to stop fake or mistyped emails before they enter your system.
There are no contracts or recurring fees. You simply buy credits and use them whenever you need, they never expire. Plus, Mailerio offers premium support and expert advice to help you troubleshoot and improve your email performance fast.
With over 98% deliverability, 95%+ validation accuracy, and 99.99% uptime, Mailerio gives you reliable, high-quality email validation at a price that fits your budget. Clean your lists, improve your campaigns, and protect your sender reputation—all with one easy-to-use tool.",Riga,"SaaS, email validation tool,",No funding announced yet,2025,https://mailerio.com/,Active,LV,https://www.linkedin.com/in/agnese-ajelix/
SPEENRGY,https://www.eu-startups.com/directory/speenrgy/,Latvia,"Startup SPEENRGY is Developing a Unique Device, a Range Extender for All Types of EVs, Drones, E-Bikes, Cars, Cargo, Buses, Trucks, eVTOLs and Airplanes.

Technology Approved by EPO as Innovative and It has already received the Publication of European and World Patent, and will continue to receive Unitary Patent in Europe  as well as Patents in Key Countries Around the World.

It is an Innovative Green Electricity Generator which has a Modular Design and Can be Easily Adapted for Any Type of Vehicle.
Device Generates Green Electricity During Transportation, which is Used to Power Systems or to Charge the Battery. 

Generation Possibilities from 2 kW per hour to 20-30 kW per hour.
This Device Represents a New Opportunity to Unlock the Full Potential for Electric Transport in All Areas and Accelerate the Transition to Zero Emissions in the Transport Sector.","The Device Uses  Kinetic Energy of the Rushing Air Flow and Converts it into Clean Electricity, which can be used in the Moment for Power Systems or for Charging Batteries Directly in Motion.
Similar Technology is used in Raw Air Turbine to Generate Electricity in Emergency Situations.
Technology Approved by EPO as Innovative and We have already received the Publication of European and World Patent, and will continue to receive Unitary Patent in Europe  as well as Patents in Key Countries Around the World.
The Possibility of Generating Electricity with Micro Turbines installed on vehicles has been confirmed several times.
But since in those tests ordinary generators and standard blades were used, the potential of such turbines was only superficially investigated.
In the Design of Device We used a New Type of Generator that has a High Efficiency and is as simple as possible to use, a Type of Blades that will allow a Large Flow of Kinetic Energy of the air stream and with minimal losses to Transmit Torque to the Generator.
We believe, this is a Significant Breakthrough for Electric Transportation, which requires Attention and Development.
The General Feature of my device is Modularity, the Ability to Adapt its size to many Types of EV transportation, from Drones and Bicycles to Cars, Trains, eVTOL and Airplanes.
By changing the size of the main components and the size of the outer casing of the device, changing the amount of energy generated, which is also important when used with vehicles that consume 15 kW per hour or more of electricity.
A detailed product range
Technology is based on basic modules which are the basis of the device. The basic modules can be of different sizes, which allows me to adapt the size of the device to a specific type of transport.
This gives me the opportunity to use the technology with a very wide range of electric vehicles.
The minimum size of the device is capable of producing 1-2 to 4-5 kWh of electricity. This is enough to be used with small drones of about 1 meter or more in size, as well as with electric bicycles and scooters.
The middle size device is capable of producing between 5-7 kWh and 10-15 kWh of electricity. It depends on the type of generator and the size of the device. This size is convenient to use with medium and large size drones, as well as with city electric bikes and cars.
The large size device is capable of producing 15-17 kWh to 25-30 kWh of electricity. As I said before, it depends on the type of generator and the size of the device. This size device is suitable for cars, buses and trucks. Also for EVTOL and small airplanes.
It is possible to produce another size of device to generate from 30 kWh to 50 kWh of electricity. This type of device could be used in aviation to create hybrid airplanes or all-electric airplanes.
At the moment, aviation is using similar technology, but it is already outdated and is only used in emergencies as it generates no more than 5 kW of electricity.
This Device Opens Up New Opportunities for Accelerating the Development of Electric Transport in All Sectors and will Significantly Accelerate the Transition to Zero Emissions in the Transport Sector.",Riga,"Range-Extender for EV, Wind Turbine, ECO Generator, eVTOL, EV ECO Charger, Innovation, Global Goal, Sustainability, Carbone Reduce",Between €1-€100K,2023,www.speenrgy.tech,Active,LV,https://www.linkedin.com/company/
Batsand,https://www.eu-startups.com/directory/batsand/,Latvia,"""Batsand is a thermal energy storage system (Heat Battery) for residential and commercial properties. It stores surplus energy from solar panels during the summer, converts it to heat, and stores it for long periods (seasonal storage) until winter demand starts. It connects seamlessly to the house heating system, providing heating throughout the needed months with zero emissions. 
 With a return on investment in 8-10 years (depending on the country,) it's the only solution that can guarantee households energy independence from the grid and carbon fuels.""",,Rīga,"Solar Energy, Heat Battery, Heat Battery, Solar Energy, Thermal Energy, and Home",Between €500K-€ 1 million,2023,https://www.batsand.com/,Active,LV,https://www.linkedin.com/company/batsand/
L-Blend,https://www.eu-startups.com/directory/l-blend/,Latvia,"L-Blend is an innovative nutraceutical developed from wine and wine byproducts using patented technology. This product preserves the health-promoting polyphenols of wine using natural fibers, enhancing bioavailability of polyphenols and reducing glucose peaks after meals. When dissolved in water, L-Blend transforms into a pleasant, wine-like drink, offering the health benefits of wine without the alcohol. It addresses key cardiovascular and metabolic health challenges while supporting sustainability and circular economy principles.",,Riga,"Cardiovascular Health, Non Alcoholic Wine, Antioxidant Support",Between €100K-€500K,2023,https://lblend.life/,Active,LV,https://www.linkedin.com/company/l-blend/
Crowd Explorers,https://www.eu-startups.com/directory/crowd-explorers/,Latvia,"CrowdExplorers is a privacy-first platform that enables secure, decentralized data labeling and AI model training by utilizing P2P networks and edge processing. By leveraging existing hardware (smartphones, laptops, IoT devices) and unused resources, we significantly reduce energy consumption and carbon footprint while providing a scalable, cost-effective solution for data labeling. Our platform integrates federated learning, zero-knowledge proofs (ZKPs), and tokenized incentives to ensure compliance and privacy while incentivizing contributors, including students, startups, and enterprises. We aim to democratize AI development by enabling collaborative innovation across sectors like healthcare, finance, and government.",,Riga,"Privacy Specific Solutions, Privacy First AI, AI Model Training",Between €100K-€500K,2024,https://crowdexplorers.com,Active,LV,https://www.linkedin.com/company/crowdexplorers/
AiSAT,https://www.eu-startups.com/directory/aisat/,Latvia,"We plan to provide satellite imagery from anywhere in the world to businesses and consumers as frequently as every 10 minutes.
We Transform space services with nano satellites and AI-driven data processing.
We also provide provides satellite intelligence solutions, particularly for defense and civil applications.",,Rīga,"space technology, Defense Tech Solution, Nano Satellites",Between €100K-€500K,2024,https://aisat.space/,Active,LV,https://www.linkedin.com/company/aisatspace/
NFT4Charity.world,https://www.eu-startups.com/directory/nft4charityworld/,Latvia,"Fundraising in crypto for NGOs through using NFT.
We are open sourced blockchain Whose project is to help make Charity Campaigns BETTER and Raise Funds For NGOs.
Our Main Goal is to Fundrise money through Crypto for NGOs and help the needy ones.",,Latvia,"Blockchain Charity, NFT Fundraising, social welfare solution",Between €100K-€500K,2024,https://nft4charity.world,Closed,LV,
Adsmom,https://www.eu-startups.com/directory/adsmom/,Latvia,"We are a B2B SaaS company. Currently, we charge €99-149/month per account for tracking multiple competitors, with custom pricing for agencies ranging from €1,000-5,000/month based on the number of accounts tracked.",,Riga,"Google Ads, Digital marketing, Ad-tech",Between €100K-€500K,2024,https://adsmom.com/,Active,LV,https://www.linkedin.com/company/adsmom/
MOOTD.ai,https://www.eu-startups.com/directory/mootdai/,Latvia,"MOOTD is a digital wardrobe assistant that helps users start their day stress-free by providing a personalized Outfit of the Day (OOTD) suggestion every morning—for free. By leveraging AI, MOOTD easily digitalizes wardrobes, categorizes items based on traits like material and temperature suitability, and integrates weather and calendar data to deliver thoughtful, tailored recommendations. The subscription model unlocks premium features, including shopping, styling and pairing recommendations, constructing outfits based on specific dress codes, and packing for travel. By reducing decision-making fatigue and promoting sustainable fashion, MOOTD empowers users to maximize their wardrobes while starting each day in a great mood.",,Latvia,"Innovative Design, Future Fashion, Tech Style",Between €100K-€500K,2024,https://mootd.ai,Active,LV,
XME,https://www.eu-startups.com/directory/xme/,Latvia,"XME is an innovative AI platform that enables immersive, character-driven chat and role-play experiences, designed to boost user engagement through dynamic, adult-friendly interactions with AI personas.",,Riga,"ai, aichatbot, airoleplay",No funding announced yet,2025,https://xme.bio,Active,LV,
Backlink Pilot,https://www.eu-startups.com/directory/backlink-pilot/,Latvia,"Get rid of your clunky spreadsheets and use a tool designed for link builders. Import your existing links from a CSV and start tracking every link you’ve built. Get an overview of links that are live, if they are dofollow, or nofollow, or if the anchor has been changed. Thanks to automated checks, you’ll see when links change.","Backlink Pilot is the free link building CRM designed for SaaS companies and link building agencies. If you’re building links yourself, and get surprised when links are down, this tool is for you. Backlink Pilot checks regularly if your links are still live, so you can follow up with your partners. Speaking of partners, add partner profiles to Backlink Pilot so you can track all your link exchanges. You’ll have a balance that shows if someone is owing you links to make tracking easier.
The free version allows you to add up to 500 links, while a paid version gives you more slots. Use the free dashboard to keep en eye on all your links and use the powerful filters to narrow down your view.
Spend more time building links and less checking if they are still live—with Backlink Pilot.",Riga,"CRM, Link Building tool, SEO, Marketing",No funding announced yet,2023,https://backlinkpilot.com/,Active,LV,https://www.linkedin.com/products/sppapp-backlink-pilot/
Fiidbakk,https://www.eu-startups.com/directory/fiidbakk/,Latvia,Allows your users leave comments directly on your website with Fiidbakk!,"Fiidbakk lets your users leave comments directly on your website—no pre-set questions, just honest feedback where it matters. It helps you understand exactly what users think and where they face issues, giving you clear insights for real improvement.",Riga,"saas, feedback, customer feedback, user feedback",No funding announced yet,2024,https://fiidbakk.com/,Active,LV,https://www.linkedin.com/company/fiidbakk/
Boring Dice,https://www.eu-startups.com/directory/boring-dice/,Latvia,Dice Roller App for Board Games,"Boring Dice is a beautiful yet simple dice roller app, with smooth, satisfying interactions and painfully random rolls.",Riga,"ios, 3d, board games",No funding announced yet,2024,https://boringdice.app,Active,LV,
Fluxy.One,https://www.eu-startups.com/directory/fluxy.one,Latvia,"Fluxy.one helps EU SMEs to create and manage Digital Product Passports (DPP), e-Labels and enhance marketing capabilities. The Fluxy.one solution is designed around GS1 standards. We not only ensure compliance with sustainability, ESPR, etc., but also increase transparency and convenience for consumers with a focus on sustainable consumption.",,Riga,"SaaS, Regulation, ESG",Between €100K-€500K,2024,https://fluxy.one,Active,LV,https://www.linkedin.com/company/fluxy-one/
Fluxy.One,https://www.eu-startups.com/directory/fluxy.one,Latvia,"Fluxy.one helps EU SMEs to create and manage Digital Product Passports (DPP), e-Labels and enhance marketing capabilities. The Fluxy.one solution is designed around GS1 standards. We not only ensure compliance with sustainability, ESPR, etc., but also increase transparency and convenience for consumers with a focus on sustainable consumption.",,Riga,"SaaS, Regulation, ESG",Between €100K-€500K,2024,https://fluxy.one,Active,LV,https://www.linkedin.com/company/fluxy-one/
