name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,country,linkedin
LiveCycle,https://www.eu-startups.com/directory/livecycle/,Belgium,"LiveCycle is a next-generation LCA platform that automates and modernizes lifecycle assessments with the power of AI and real-time data tracking. It enables teams to create, manage, and update LCAs effortlessly—eliminating manual work and stale results. LiveCycle monitors changes across your supply chain, operations, and databases, keeping your models continuously accurate and compliant. With full SKU coverage, transparent workflows, and audit-ready outputs, it transforms LCAs into a strategic advantage.","LiveCycle is a revolutionary lifecycle assessment (LCA) platform that brings speed, intelligence, and reliability to sustainability management. Traditionally, LCAs have been complex, slow, and prone to becoming outdated shortly after completion. LiveCycle solves these issues by introducing an AI-driven, real-time approach that keeps your assessments continuously updated and actionable.
With LiveCycle, sustainability and product teams can generate audit-ready, ISO-compliant LCAs across every SKU in a fraction of the time. The platform automatically tracks changes in supplier data, internal operations, and secondary datasets—alerting you when a model needs attention. This ensures your insights are always current, eliminating the risk of decisions based on outdated information.
Unlike black-box systems, LiveCycle puts users in full control with transparent, customizable models and clear data provenance. It integrates seamlessly with industry-standard tools like Ecoinvent, GaBi, OpenLCA, and leading ERP systems, making it easy to embed sustainability into your existing workflows.
Whether you're working toward ESG targets, managing carbon footprints, or preparing for regulatory audits, LiveCycle equips you with the tools to act confidently and strategically. It turns lifecycle assessments from a burdensome compliance task into a dynamic, living asset that drives real business value.","Machelen, Belgium","AI-powered LCA, lifecycle assessment, sustainability",Between €500K-€ 1 million,2025,https://www.livecycle.ai,Active,BE,
Crosslist,https://www.eu-startups.com/directory/crosslist/,Belgium,"Crosslist grows your sales by putting your listings in front of more buyers across more marketplaces, with zero extra effort.",,Kortrijk,"Saas, Software, ECommerce, Marketplaces",No funding announced yet,2023,https://crosslist.com/,Active,BE,https://be.linkedin.com/company/crosslist
SplitStay,https://www.eu-startups.com/directory/splitstay/,Belgium,"SplitStay is a traveltech marketplace that helps solo travelers match and share hotel rooms with like-minded people — each with their own bed.
Think BlaBlaCar meets Booking.com, designed for the solo economy.
We turn underutilized twin rooms into bookable space, enabling travelers to save money while we earn a commission on each match.",,Belgium,"AI, Hospitality, Travel Tech",Between €100K-€500K,2025,https://www.splitstay.travel/,Active,BE,https://www.linkedin.com/company/splitstay-travel/about/
Skypass,https://www.eu-startups.com/directory/skypass/,Belgium,"SkyPass is an AI-powered travel platform that merges real-time search, booking, and concierge services into one seamless user experience. At its core is SK.ai, an intelligent agent that combines structured API data (flights, hotels, weather, etc.) with user preferences to deliver dynamic itineraries and proactive travel assistance. Our revenue model includes commissions from travel partners, premium subscriptions for enhanced features, and B2B white-label solutions.",,Antwerp,"AI, Travel Technology, Smart Booking, B2B",Between €100K-€500K,2024,https://skypass.one,Active,BE,https://www.linkedin.com/company/skypass-ai/about/
AskWhisper,https://www.eu-startups.com/directory/askwhisper/,Belgium,"AskWhisper is an all-in-one guest journey platform for independent boutique hotels, powered by AI. These hotels are often run by people who care truly about hospitality, but lack the time to dive into implementing smarter communication and upselling smarter. That's where we step in - we allow properties to centralise all their information in one place, and automatically produce all the necessary digital guest journey tools for them (think Whatsapp AI concierge, guest app, webchat and e-mail automation).",,Antwerp,"IT System, Custom Software Development, AI",Between €100K-€500K,2024,https://www.askwhisper.com/,Active,BE,https://www.linkedin.com/company/askwhisper/
Dorple,https://www.eu-startups.com/directory/dorple/,Belgium,"Dorple helps urban planners and design teams gather local knowledge and ideas. Simple, visual and site-specific - ready to start working with it in your project.","We are passionate about beautiful places. Digital participation with Drople builds attractive and liveable neighbourhoods that really resonate with residents.
In neighbourhoods and districts, valuable ideas, perceptions and experiences often live under the radar. At the same time, spatial plans are usually designed from above, while it is precisely the local knowledge and involvement of residents that is essential for sustainable change.
The dorple app puts perception centre stage, involves people you often miss with traditional participation - such as young people - and offers policymakers and designers insight into what lives, what works and where opportunities lie. This is how you bridge the gap between plans and practice.",Genk,"participation, spatial planning",No funding announced yet,2025,https://workwith.dorple.me/en/,Active,BE,https://www.linkedin.com/company/dorple
Maya,https://www.eu-startups.com/directory/maya/,Belgium,"Maya offers a 360° AI “brain” for travel companies, combining website chat, external platform integration (WhatsApp, Instagram), email automation, and internal agent tools in one platform. 

Our technology uses generative AI and custom search to understand traveler needs, respond instantly in 100+ languages, and guide bookings with client-specific inventory and pricing. 

We integrate directly with booking engines, CRMs, and content systems to deliver consistent, context-aware support across all channels.",,Antwerp,"AI, Travel, Travel tech, SaaS",Between €500K-€ 1 million,2022,https://www.mayatravel.ai,Active,BE,https://www.linkedin.com/company/maya-travel/
Fluidwave,https://www.eu-startups.com/directory/fluidwave/,Belgium,"Fluidwave is a smart productivity platform that blends AI task management with real human assistance. Create, organize, and break down tasks with ease. Let AI prioritize what matters most while you stay in control with flexible views like List, Kanban, Calendar, and more. Delegate time-consuming tasks to virtual assistants instantly—so you can focus on high-impact work and stay in flow.","Fluidwave is an intelligent productivity platform built to keep you in a state of focused flow. It combines powerful AI task management with seamless human assistant support, giving you the tools to take control of your time, energy, and priorities.
Effortlessly create, organize, and structure your tasks with our AI-powered interface. Whether you're breaking down complex goals into actionable steps or planning your week, Fluidwave helps you manage it all. Smart auto-prioritization ensures you're always working on what matters most—no more guesswork or overwhelm.
Visualize your work the way you like with customizable views, including List, Table, Calendar, Kanban, and Card layouts. Need help with time-consuming or low-priority tasks? Instantly delegate them to trusted human virtual assistants directly within the platform.
Designed for busy professionals, freelancers, and collaborative teams, Fluidwave adapts to your workflow and grows with your needs. It’s not just a task manager—it’s a focus engine, a delegation tool, and a productivity companion in one. Get more done, with less friction.",Fluidwave,"AI task management, productivity app, virtual assistant",Between €500K-€ 1 million,2025,https://fluidwave.com,Active,BE,http://linkedin.com/in/heymartinadams
e-invoice.be,https://www.eu-startups.com/directory/e-invoicebe/,Belgium,e-invoicing platform and Peppol API,"The e‑Invoice Peppol API helps software platforms, finance tools, and SaaS companies instantly support Peppol e‑invoicing without the complexity of XML, UBL parsing, or running your own Access Point.  
Convert PDFs, Word or Excel invoices into valid e‑invoices. Deliver e‑invoices via the Peppol network—fast.  
Features include:
- developer friendly REST API
- PDF/Word/Excel → UBL conversion
- IBAN validation & automatic KYC onboarding
- Real-time webhook notifications
- Secure UBL document delivery over Peppol",Zemst,"accounting, invoicing, peppol, saas",No funding announced yet,2025,https://e-invoice.be,Active,BE,https://www.linkedin.com/company/e-invoice-be
Raise Better,https://www.eu-startups.com/directory/raise-better/,Belgium,"Raise Better is a fundraising platform designed to transform how startups and investors connect. 

We provide intelligent tools that streamline investor relations, enabling founders to securely share data, track engagement, and match with optimal investors. 

Our platform reduces fundraising complexity, helping innovative companies efficiently access capital while giving investors targeted, high-quality deal flow.

We're on a mission to raise the fundraising standards and work towards a future where raising capital for a venture becomes a straightforward task that should consume 10x less time than it currently requires from founders.",,Brussels,"Venture Capital, Fundraising",No funding announced yet,2024,https://raisebetter.capital,Active,BE,https://www.linkedin.com/company/raise-better
LoanDebtFix,https://www.eu-startups.com/directory/loandebtfix/,Belgium,"LoanDebtFix connects people facing financial challenges with certified debt relief experts. We offer tailored solutions to reduce, consolidate, and eliminate debt—providing trusted guidance and support every step of the way toward lasting financial freedom.","LoanDebtFix is a dedicated platform designed to help individuals regain control of their financial lives by connecting them with certified and trusted debt relief professionals. Whether you're struggling with credit card debt, personal loans, or overdue bills, our mission is to simplify the process of finding real, effective solutions.
We understand that debt can feel overwhelming, which is why we offer access to customized plans including debt consolidation, settlement, negotiation, and financial counseling—tailored to each person’s unique situation. Our network of experienced professionals ensures you receive transparent advice, compassionate support, and a clear roadmap to becoming debt-free.
With LoanDebtFix, you're not alone. We provide a stress-free, secure, and supportive environment to help you take confident steps toward a stronger, more stable financial future. No gimmicks. Just real help, real results.",Greenville,DebtRelief,Between €100K-€500K,2023,https://www.loandebtfix.com/,Active,BE,
Pandora IPTV,https://www.eu-startups.com/directory/pandora-iptv/,Belgium,Met Pandora IPTV kijk je overal ter wereld naar meer dan 7000 live TV-zenders.,"Pandora IPTV biedt een revolutionaire manier om televisie te kijken via internet. Met toegang tot meer dan 7000 live TV-zenders, films en series, kun je genieten van een ongeëvenaarde kijkervaring. Of je nu thuis bent of onderweg, Pandora IPTV maakt het mogelijk om je favoriete content te streamen op elk apparaat. Probeer onze gratis 24-uurs demo en ontdek de mogelijkheden van onze service!",MISSOUR,iptv,Between €1-€100K,2025,https://pandoraiptv.net/,Active,BE,
adsfasdf,https://www.eu-startups.com/directory/adsfasdf/,Belgium,dfsaf asdf asdf asdfasdf sda f,adsf asdf adsf asdf fd,asdf asdf,asdf,Between €1 million-€ 2.5 million,2011,https://www.google.com/,Idea Stage,BE,
Mirapulse,https://www.eu-startups.com/directory/mirapulse/,Belgium,"Whether at home, at work, or on the go, EVA’s discreet and portable design offers continuous pain management when needed most. Using Intravaginal electrical stimulation technology (IVES), EVA delivers controlled electrical impulses to stimulate nerves that transmit pain signals to the brain. Positioned internally, IVES offers key benefits: proximity to key nervous structures for precise pain relief, broader pelvic nerve coverage for conditions like endometriosis, and reduced tissue impedance for better analgesic current conduction.",,Etterbeek,"Medical Equipment, Manufacturing, Medtech",Between €100K-€500K,2025,https://www.mirapulse.com/,Active,BE,https://www.linkedin.com/company/mirapulse/
Hemp Nation,https://www.eu-startups.com/directory/hemp-nation/,Belgium,"Robust, transparant and diversified financial structure with cooperative entities that automate and inclusify governance. Consumershares, ecological harmonisation, focus on renewables, circularity and sustainability. Agricultural Cooperation. All things hemp. Community of hemp builders | Research | Documentation | Development.",,Antwerp,"Hempfilament, 3Dprinting, Building, Design",Between €100K-€500K,2025,https://www.hempnation.one/,Active,BE,https://www.linkedin.com/company/hempnation
SquadAssist,https://www.eu-startups.com/directory/squadassist/,Belgium,"SquadAssist improves the transfer decisions of football clubs by predicting the Sportive and Financial Return On Investment using AI. At SquadAssist, we believe that building the right squad is the most important success factor of a football club. Our innovative solution helps football clubs make the best squad decisions by predicting the added value of a specific player to your specific club.",,Leuven,"Player recruiting, Football analytics, Decision-making",Between €100K-€500K,2025,https://www.squadassist.ai,Active,BE,https://www.linkedin.com/company/squadassist-ai/
WAVEplus,https://www.eu-startups.com/directory/waveplus/,Belgium,"WavePlus is a data-driven fan engagement and monetization platform designed for leagues, clubs, and sports organizations. At its core, our connector technology integrates scattered data sources—ticketing, merchandising, streaming, and sponsorships—into a unified virtual data lake. This allows rights holders to personalize fan interactions and unlock new revenue streams through targeted advertising, pay-per-view, and direct-to-fan commerce.",,Liedekerke,"Fan engagement, Data, Video, Sportstech",Between €100K-€500K,2024,https://www.waveplus.io,Active,BE,https://www.linkedin.com/company/waveplus-io/
Create-A-Sun,https://www.eu-startups.com/directory/create-a-sun/,Belgium,"Create-A-Sun is a subscription-based digital tool (app + integrations) that helps parents, teachers, and caregivers raise emotionally healthy kids who grow into resilient, compassionate adults. Using AI and virtual pets, it helps kids capture, revisit, and learn from everyday moments of emotional growth—training their minds to find the bright side and making resilience a habit. This tackles the rise in teen and adult depression and suicide, giving kids more joy today and emotional strength for life.",,Brussels,"AI, EdTech, Social Emotional Learning",Between €100K-€500K,2024,https://create-a-sun.bubbleapps.io/version-test,Active,BE,https://www.linkedin.com/company/wasteknot-global/
Cumbaya,https://www.eu-startups.com/directory/cumbaya/,Belgium,"Cumbaya empowers travelers to create their dream trip with confidence and ease - for free. AI is leveraged to generate instant personalized itineraries. Our technology enriches AI with self-developed algorithms to ensure consistency, quality and accuracy.",,Leuven,"Travel Arrangements, Tour Agency, Ai Tech",Between €500K-€ 1 million,2024,https://cumbaya.travel,Active,BE,https://www.linkedin.com/company/cumbayatravel/
Wodan AI,https://www.eu-startups.com/directory/wodan-ai/,Belgium,"Secure AI platform to preserve privacy and guarantee security of data. 

Focusing on AI driven Fintech providers, solving data privacy issues in use-cases like fraud detection and risk management.

Wodan AI offers data security and privacy for AI-focussed Fintech organizations.",,Gent,"Technology, Information, Internet, AI",Between €500K-€ 1 million,2024,https://www.wodan.ai,Active,BE,https://www.linkedin.com/company/wodanai/
Sidekick,https://www.eu-startups.com/directory/sidekick/,Belgium,"Sidekick is building the foundation model for mental health. 

Leveraging Big Data derived from psychological interventions, therapy sessions, clinical trials, and behavioral studies and for the first time in human history, make personalized mental health care accessible to anyone, anywhere, anytime. 
 
Central to our vision is respecting individual autonomy, competence, and relatedness.",,Antwerp,"Mental Healthcare, Therapy sessions, Clinical trials",Between €100K-€500K,2024,https://www.yoursidekick.app/,Active,BE,
Sokari,https://www.eu-startups.com/directory/sokari/,Belgium,"SoK’ari is a fun and educational mobile application intended for diabetics. It offers a self-monitoring diary, graphical visualization, as well as a visual food database to help patients determine the composition of their meals and provide nutritional advice to maintain a balanced diet. The app also offers various menu and recipe options and choices.",,Belgium,"Self-monitoring diary, Graphical visualization, Mobile App",Between €100K-€500K,2024,https://www.sokaricare.com/,Active,BE,
Sevenyoken,https://www.eu-startups.com/directory/sevenyoken/,Belgium,"Automation becomes essential for accountancy firms. SevenYoken supports your team with AI accounting agents. Tireless, precise and accurate, AI agents for accounting and finance.",,Zemst,"Accounting, Artificial intelligence, Certified autonomous bookkeeping",Between €100K-€500K,2024,https://www.sevenyoken.ai,Active,BE,https://www.linkedin.com/company/sevenyoken/
Inner Design,https://www.eu-startups.com/directory/inner-design/,Belgium,"Elevating spaces through contemporary furniture, benefiting the well-being of all. Inner Design collaborates with innovative minds in the creation of furnitures & environments that encourages moments of pause and rejuvenation.

Our first product, Shanti, is a statement piece for modern spaces, infusing peace and aesthetics into any environment, while offering a myriad of experiences, from introspection and meditation to a momentary escape.",,Brussels,"Furniture, Home Furnishings Manufacturing, Infusing peace, Aesthetics",Between €100K-€500K,2024,https://www.inner-design.com/,Active,BE,https://www.linkedin.com/company/innerdesign-studio/
KongÃ©,https://www.eu-startups.com/directory/konge/,Belgium,"Kongé is an innovative DMC and marketing agency that combines technology and expertise to support both consumers and businesses in the travel and event sectors in Belgium.With an innovative online booking platform for FITs and a role as a DMC for MICE and corporate inbound travel, Kongé offers a 
 versatile and integrated approach.",,Brussels,"Travel Arrangements, Digital Marketing, Incentives",Between €100K-€500K,2024,https://konge-tourism.com,Active,BE,https://www.linkedin.com/company/konge-tourism/
TriFalyo,https://www.eu-startups.com/directory/trifalyo/,Belgium,"TriFalyo is a cloud-based platform that integrates food delivery services (e.g., Uber Eats, Deliveroo) with one app, streamlining order management and improving efficiency. Additionally, TriFalyo creates its own network of virtual restaurants, enabling multiple online-only brands to operate using the same infrastructure, maximizing revenue potential and operational scalability. +1,000 out-of-the-box integrations that operate at a 99% success rate.",,Liège,"Technology, Information, Media",Between €100K-€500K,2023,https://trifalyo.com,Active,BE,https://www.linkedin.com/company/trifalyo/
KIKLEGAL,https://www.eu-startups.com/directory/kiklegal/,Belgium,"The best way to resolve a conflict and obtain compensation is to have a group of people, with the assistance of a lawyer through a legal collective action. 

KIKLEGAL is the first platform in Europe to facilitate the digital management of collective action. 

Lawyers improve their results thanks to a tool adapted to their needs when creating, managing and monitoring collective actions.",,Brussels,"Legal Services, Class action, Action collective, Problem solver",Between €100K-€500K,2023,https://www.kiklegal.com/en/,Active,BE,https://www.linkedin.com/company/kiklegal/
babyloop,https://www.eu-startups.com/directory/babyloop/,Belgium,"babyloop introduces a versatile, high-value business model, combining direct sales with retail partnerships and ongoing revenue from modular accessories. Its patented mechanism ensures automatic safe and ergonomic positioning, eliminating the trial-and-error of traditional carriers. The adaptable design grows with the baby, offering unmatched customization for moms and dads alike - that means one purchase with guarantee of comfort and ease of use for both parents and growing baby.",,Brussels,"Retail Apparel, Fashion, Sustainable Parenting",Between €100K-€500K,2023,https://www.babyloopcarrier.com,Active,BE,https://www.linkedin.com/company/babyloopcarrier.com/
ShqipVille,https://www.eu-startups.com/directory/shqipville/,Belgium,"We promote and sell in the heart of Brussels 36 Albanian business, integrated inside a Cultural HUB, everyone company need to pay a annual fee / €3000.
 
We have a created a polyvalente Cultural House, and we deliver different services /art expo/ book club / bistro Belgo Albanian/ school of language/ Radio Show/ free legal advice /work shops for better integration…""

The organization “Maison Culturelle Belgo-Albanaise” established in Brussels on February 24, 2022, was created with the aim of becoming an important meeting point for the Albanian Community in Belgium.",,Brussels,"Art gallery, Products, Exhibit",Between €100K-€500K,2022,https://maisonculturellebelgo-albanaise.com/,Active,BE,
Learn2B,https://www.eu-startups.com/directory/learn2b/,Belgium,"We create custom training solutions (online micro-learning & workshops) for healthcare cybersecurity in Benelux & beyond (including GDPR & AI Act compliance). Custom e-learning for GDPR, NIS2, and MDR/IVDR that your team will actually remember.

Cybersecurity training that works in the real world, not just on paper",,Brussels,"E-Learning Providers, Healthcare Security, Cybersecurity training",Between €100K-€500K,2022,https://learn2b.be,Active,BE,https://www.linkedin.com/company/lrn2b/
CurveCatch,https://www.eu-startups.com/directory/curvecatch/,Belgium,"CurveCatch is an AI-powered expert that delivers recommendations on anything bras and undergarments in a conversational format, starting with undergarment webshops. To power this, we use a.o. our own taxonomy of over 2M+ unique product data points, conditional questioning about a shopper's favourite bra and real-time browsing data. Revolutionizing the lingerie shopping experience.",,Antwerp,"Apparel, Fashion, AI",Between €500K-€ 1 million,2022,https://www.ai.curvecatch.com,Active,BE,https://www.linkedin.com/company/curvecatch/
Overtone,https://www.eu-startups.com/directory/overtone/,Belgium,"Overtone creates customizable content recommendation systems for businesses. Overtone is a mission-driven contextual intelligence partner redefining how the digital world is understood— through the lens of human relevance.

We empower advertisers with the clarity and controls to navigate digital news and media with precision, aligning with what drives brand relevance today and brand value tomorrow.",,Brussels,"Technology, Information, Media",Between €100K-€500K,2021,https://overtone.ai,Active,BE,https://www.linkedin.com/company/overtonetech/
CollectiveUP,https://www.eu-startups.com/directory/collectiveup/,Belgium,We are a social digital startup with main income coming from EU grants. Since we are so good at grants writing we get clients to support with their applications. We are doing our social Impact projects and now supporting others to write their Impactful grants.,,Ghent,"Gamification, Design Thinking, Agile Project Management",Between €500K-€ 1 million,2021,https://www.collectiveup.be,Active,BE,https://www.linkedin.com/company/collectiveup
PathMetrics,https://www.eu-startups.com/directory/pathmetrics/,Belgium,"Pathmetrics is a marketing attribution tool that unifies data from ads, SEO, social media, and email to show how each channel contributes to conversions and revenue. It offers multi-touch attribution, real-time insights, and unlimited tracking to help businesses optimize marketing performance and invest confidently in the strategies that deliver results.","Pathmetrics is a comprehensive marketing attribution platform designed to help businesses understand the true impact of every marketing channel. By seamlessly integrating data from advertising, SEO, social media, and email campaigns, Pathmetrics provides a unified view of the customer journey—highlighting how each touchpoint contributes to conversions and revenue.
With advanced multi-touch attribution models, Pathmetrics goes beyond surface-level metrics to deliver deep insights into cross-channel performance. Its real-time tracking, unlimited data capture, and robust integrations with popular marketing tools empower teams to eliminate guesswork, reduce wasted spend, and optimize campaign performance. Whether you're a startup or an enterprise, Pathmetrics enables smarter decision-making, more efficient budget allocation, and scalable growth based on what actually works.",Vlaanderen,"Marketing Attribution, Multi-Touch Attribution",Between €1 million-€ 2.5 million,2025,https://www.pathmetrics.io,Active,BE,
WebVibe,https://www.eu-startups.com/directory/webvibe/,Belgium,"WebVibe delivers explosive growth for Belgian businesses through laser-focused SEO strategies. We dominate local search results by combining Dutch/French keyword mastery, .be backlink power, and Google My Business optimization - all with a guaranteed results promise. Let's turn your website into a lead-generating machine that outranks competitors across Flanders and Wallonia!","At WebVibe, we specialize in SEO services in Belgium, helping local businesses grow online with proven strategies. Unlike generic agencies, we focus on what works for the Belgian market—Dutch and French keyword optimization, .be backlinks, and Google My Business dominance.
Why Choose Us?
✔ Local Expertise – We optimize for how Belgians search
✔ Guaranteed Results – More traffic, leads, and sales
✔ Transparent Reporting – Track your growth in real time
From Antwerp to Liège, we make sure your business gets found. Get your free SEO audit today!
Explore Our SEO Services in Belgium
Key Benefits:
✅ Clear & Professional – Easy to understand
✅ Belgium-Focused – Targets local SEO needs
✅ Strong CTA – Encourages action
✅ SEO-Optimized – Includes key phrases naturally",Belgium,"seo , web development , growth , ranking",Between €500K-€ 1 million,2020,https://webvibe.be,Active,BE,
NextSDS,https://www.eu-startups.com/directory/nextsds/,Belgium,"NextSDS was created to help chemical companies stop losing time to outdated compliance workflows. By digitizing the SDS lifecycle and applying smart automation, we reduce the risk of regulatory penalties and increase team productivity.
Every SDS is generated using globally recognized standards and can be instantly exported, shared, or updated. Stay compliant—without the chaos.",,Gent,"SaaS, Startup, Chemical Safety",Between €1-€100K,2024,https://nextsds.com,Active,BE,https://www.linkedin.com/in/fritzhoste/
Mangara Shoes BV,https://www.eu-startups.com/directory/mangara-shoes-bv/,Belgium,"Mangará Shoes is a Belgian footwear brand that blends Brazilian design heritage with European style and sustainability. Designed and handcrafted in Brazil, our shoes offer premium quality, comfort, and timeless fashion for both B2B and B2C markets.","Mangará Shoes is a Belgian footwear brand with strong Brazilian roots, dedicated to delivering stylish, high-quality shoes that celebrate craftsmanship, sustainability, and cultural fusion.
Founded in Belgium and handcrafted in Brazil, our leather shoes combine vibrant design with European minimalism. Since launching as a pilot project in 2022 and going full-time in 2024, Mangará has built a lean and tech-integrated operation, distributing directly to consumers and through B2C channels across Europe.
Our products are made in collaboration with skilled Brazilian artisans under ethical working conditions, and we prioritize quality, comfort, and slow fashion principles. Every pair reflects our commitment to authenticity, fair trade, and accessible elegance.
Mangará Shoes is now scaling its presence in the European market and seeking strategic partners and investors to expand brand awareness, strengthen our distribution network, and build a new benchmark for ethical, cross-cultural fashion.",Vilvoorde,"Women Empowerment Brand, B2B B2C Footwear, Leather Shoes, Ethical Shoe Brand",No funding announced yet,2022,https://www.mangara.be/,Active,BE,https://www.linkedin.com/company/mangara-shoes-bv/
Zeopore Technologies NV,https://www.eu-startups.com/directory/zeopore-technologies-nv/,Belgium,"Zeopore develops and commercializes optimized zeolites for catalytic applications like refining, petrochemicals and circular applications like sustainable fuels, plastic waste recycling and CO2 usage. We generate substantial activity and selectivity benefits worth 15M$/a customer value and 38Mt CO2 reductio potential. Currently we use a semi-industrial production unit in Belgium for first customer orders and process intensification purposes. Aiming to grow to 200M$ business via selected partnerships with major catalyst companies worldwide.",,Leuven,"refining, sustainable, zeolite, catalyst",Between €5 million-€10 million,2017,www.zeopore.com,Active,BE,https://www.linkedin.com/company/18611188/admin/dashboard/
Ai Apps,https://www.eu-startups.com/directory/ai-apps/,Belgium,"AI Apps brings together over 1,000 AI tools across various categories like content creation, business automation, productivity, and coding. It’s the perfect platform for anyone looking to find the best AI solutions quickly and easily.

With real user reviews, side-by-side comparisons, and an intuitive interface, AI Apps helps you make informed decisions without the hassle. Simplify your search for AI tools and discover the solutions that best fit your needs with AI Apps.","AI Apps is your one-stop destination for discovering and comparing over 1,000 AI tools across various industries and applications. From content creation to business automation, productivity enhancements, and coding assistants, we offer a comprehensive collection of tools to meet the needs of individuals, businesses, and developers alike.
At AI Apps, we understand that choosing the right AI tool can be overwhelming, especially with so many options available. That’s why we’ve made it easy for you to navigate through the vast world of AI solutions. Our platform features real user reviews, side-by-side comparisons, and clear category organization, so you can easily assess which tools are the best fit for your specific needs.
Whether you're looking to automate repetitive tasks, create high-quality content faster, improve business operations, or dive into the world of AI-driven development, AI Apps has the tools to help you succeed. Our user-friendly interface ensures you can find what you need quickly, and our detailed descriptions and reviews offer a deeper understanding of each tool’s capabilities.
AI Apps isn’t just about discovering tools; it’s about making smarter, more informed decisions. With our streamlined platform, you can save time, avoid costly mistakes, and choose tools that are backed by real-world feedback and proven results.
Stay ahead of the competition and unlock the potential of AI to enhance your productivity, creativity, and business efficiency. Whether you're a beginner exploring AI or a seasoned professional looking for advanced solutions, AI Apps is your trusted partner in navigating the AI landscape.","Aarhus, Denmark","AI tools, AI platform, AI solutions",Between €1 million-€ 2.5 million,2024,https://www.aiapps.com/,Active,BE,http://www.linkedin.com/in/ryanjthorpe
Website Designer BV,https://www.eu-startups.com/directory/website-designer-bv/,Belgium,Website Designer webdesign SEO betaalbare websites webshop starten,"Website Designer voor een mobielvriendelijke website die gevonden wordt. Betaalbare websites en webshops die gepersonaliseerd worden naar uw wensen en met een mooi webdesign.
Wees geen IP nr op het internet. Wij zorgen ervoor dat u online aanwezig bent op planeet internet. SEO diensten, sta hoog in Google en krijg bezoekers.
Website Designer voor een website met karakter en voor webshops die verkopen.
To BE on the internet!",Kapellen,"webdesign,SEO,content marketing",No funding announced yet,2021,https://www.website-designer.be,Active,BE,
