name,link,category,businessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,country,longBusinessDescription,linkedin
dreamprint.art,https://www.eu-startups.com/directory/dreamprint.art,Denmark,"Poster webshop from Copenhagen, that only deals in high quality art prints. Illustrations, your favorite arts and everything in between. Find over 200 art poster prints.",Copenhagen,"posters, webshop, copenhagen",No funding announced yet,2025,https://dreamprint.art,Active,DK,,
Propane,https://www.eu-startups.com/directory/propane/,Denmark,"Propane is building the operating system for AI-native customer intelligence. Orchestrate your internal alignment of customer insights and knowledge, and easily run scalable AI-led interviews at scale.",Copenhagen,"AI, Artificial Intelligence, Customer Intelligence, Research",Between €1 million-€ 2.5 million,2025,https://usepropane.ai,Active,DK,"Propane embeds Agentic AI for scalable real-time customer insights for your business.
Propane innovates customer research through an all-in-one operating system designed for businesses to conduct, analyze and act on customer and user research—powered by Agentic AI. From win/loss interviews and churn feedback to UX research and product discovery, Propane automates real-time qualitative research at scale for B2B and B2C teams.
Unlock instant, actionable insights with Propane’s embeddable AI voice and chat agents, allowing you to gather understand customer needs, gather feedback, analyze market trends, and optimize your go-to-market (GTM) strategy for maximum impact. Move beyond expensive, manual research calls: Propane reduces time-to-insight from weeks to minutes, delivering verified customer feedback for a fraction of the traditional cost.
Key Features:
AI-driven voice and chat interviews for customers and leads in 30+ languages
Automated CRM-integrated Win/Loss interviews and analysis
UX and product research with built-in analytics
Customizable, purpose-specific research templates
Real-time dashboards and actionable summary reports
Effortless integration your internal customer tooling (CRM, support platforms, etc.)
Why Propane?
Reduce research costs by over 90%, or run over 10x the amount of research at similar cost levels
Capture more candid, in-depth customer feedback
Fully embed Propane into your existing customer experiences
Automatically reward research participants with custom incentives
Get insights fast enough to drive business decisions instantly
Empower product, GTM, and research teams to operate at scale
Top startups and global companies use Propane to power their customer intelligence, drive product market fit, reduce churn, and fuel continuous growth.
Ideal for: Product teams, Revenue leaders, UX researchers, Customer success, Growth and Marketing teams, and anyone wanting to understand customers and leads—fast, accurately, and at scale.",https://linkedin.com/propaneai
Under Ãben Himmel,https://www.eu-startups.com/directory/under-aben-himmel/,Denmark,"I find and select unique outdoor destinations and create digital guides to make it easy for people to get out and explore. Each guide includes packing lists, transport information, accommodation and activity recommendations, a digital map, and more.

The guides are sold B2C. Customers can purchase them through a one-time payment or via a monthly subscription.",Denmark,"Travel Arrangements, B2C, Tour operator",Between €100K-€500K,2023,https://www.underaabenhimmel.com/,Active,DK,,https://www.linkedin.com/company/under-%C3%A5ben-himmel/
Yaay,https://www.eu-startups.com/directory/yaay/,Denmark,"Yaay is an AI and creator-powered travel app that turns your favorite TikTok and Instagram travel videos into bookable trips - instantly. Find a destination, hotel, experience or restaurant you like? Save it to Yaay, organize in visual moodboards, and let our AI find a way to book it. Or discover shoppable videos from trusted travel creators and the community directly on Yaay.",Copenhagen,"AI, Technology, Information, Internet",Between €100K-€500K,2024,https://yaaytravel.com/,Active,DK,,https://www.linkedin.com/company/yaaytravel/
HotelsHero,https://www.eu-startups.com/directory/hotelshero/,Denmark,"HotelsHero transforms how hotels handle luggage by offering a fully self-service storage solution that improves guest satisfaction and reduces staff workload. Our cloud-based platform lets guests store and retrieve their bags using just a QR code—no apps, no front desk involvement. Hotels pay nothing to use the system and can even earn passive revenue through optional insurance add-ons.",Copenhagen,"Lockers, Self-service, Hospitality",Between €500K-€ 1 million,2024,https://www.hotelshero.com/,Active,DK,,https://www.linkedin.com/company/hotelshero/
Prezio,https://www.eu-startups.com/directory/prezio/,Denmark,"Empowering smarter energy choices with Europe's precise, real-time, standardized electricity price API.",Copenhagen,"Electricity, EV, Smart Home",No funding announced yet,2024,https://www.prezio.eu/,Active,DK,"Prezio simplifies access to real-time electricity pricing data, supporting accurate energy cost management across Europe. Our API seamlessly integrates comprehensive electricity tariffs, collected from diverse sources and standardized for easy use.
Leveraging modern technology and electricity pricing expertise, Prezio ensures unmatched accuracy and reliability in electricity pricing data.",
Syncable.dev,https://www.eu-startups.com/directory/syncable.dev,Denmark,"Lovable for DevOps - The fastest way from Code to Live app
No configs, No chaos, Just flow.",Copenhagen,"Devops, AI,",No funding announced yet,2025,https://syncable.dev,Active,DK,"Syncable is rethinking code Deployment. Whether you're a solo builder, startup dev, or lean SaaS team — you shouldn't need to learn Kubernetes or write Terraform to ship.
We enable you to:
- Connect your GitHub
- Describe your goals in plain language
- Deploy to any cloud in seconds
No YAML. No CI/CD scripts. No manual infra.
Just instant momentum — with real-time metrics, auto-scaling, security policies, and rollback built-in.
Built for:
– Vibe Coders & AI builders
– Startups with no infra team
– Teams tired of DevOps overhead",https://www.linkedin.com/company/syncable-devops-agent/
Promte,https://www.eu-startups.com/directory/promte/,Denmark,"Promte is a Danish AI startup helping organizations build secure, GDPR-compliant AI assistants based on their own data. Used by municipalities, publishers, and SaaS companies.",Copenhagen,"AI, SaaS, Platform",No funding announced yet,2023,https://www.promte.com,Active,DK,"Promte is a privacy-first AI platform that allows companies and public institutions to create their own AI assistants using internal documents, websites, and structured data. The platform is fully GDPR-compliant, supports on-premises and EU cloud hosting, and helps organizations deploy generative AI securely and efficiently. Promte is already trusted by municipalities, educational publishers, and international software companies for both internal and external use cases.",https://www.linkedin.com/company/promte-ai/
Just Drive Car Rental,https://www.eu-startups.com/directory/just-drive-car-rental/,Denmark,"Welcome to Just Drive Car Rental, where our mission is to provide top-tier car rental services in Tórshavn, Streymoyar, Faroe Islands. We understand that every traveler has unique needs, which is why we offer a diverse range of vehicles tailored to fit any itinerary. Whether you're planning a scenic drive around the island or require a dependable car for business purposes, our fleet is at your disposal. As a premier car rental company in Tórshavn, we pride ourselves on our commitment to customer care and seamless rental experiences. With Just Drive Car Rental, picking up your chosen vehicle is straightforward, leaving you more time to enjoy the stunning surroundings of Tórshavn. Our team goes above and beyond to ensure that each customer receives personalized attention and comprehensive support throughout their rental period. Embark on your journey through the Faroe Islands with the assurance that Just Drive Car Rental has got all your transportation needs covered.

Just Drive Car Rental

Address: 20 Rundingurin, Tórshavn 100, Faroe Islands
Phone: (+)298 204500",Tórshavn,Car rental agency,No funding announced yet,2017,https://justdriverental.com/,Active,DK,,
Yuaia Haircare,https://www.eu-startups.com/directory/yuaia-haircare/,Denmark,"Yuaia Haircare is a Danish, family-owned haircare brand founded in 2020 by Lotte, her son Kasper, and daughter-in-law Nanna in the small coastal town of Glyngøre. The company began with hair vitamins and has since expanded its product range to include a wide variety of haircare products and accessories focused on natural ingredients and sustainable beauty.",Roslev,"haircare, familiey ownd, beauty",No funding announced yet,2021,https://yuaiahaircare.com/,Active,DK,,
