name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country
Copianto AI,https://www.eu-startups.com/directory/copianto-ai/,Malta,"Copianto AI builds secure, enterprise-grade AI assistants that automate customer support and business workflows. Our platform enables organizations to deploy conversational agents across websites, chat, and voice channels, improving response times, reducing costs, and enhancing customer satisfaction.","Copianto AI is an enterprise AI platform designed to help businesses build, deploy, and manage conversational agents with ease. Our solution integrates seamlessly with private and enterprise data sources and customer service channels, enabling teams to provide instant, accurate, and personalized support at scale. With features such as autonomous task execution, knowledge grounding, and human-AI collaboration, Copianto AI empowers organizations to reduce operational inefficiencies and deliver exceptional customer experiences.
We are focused on building secure, GDPR-compliant AI solutions that put privacy and trust at the core, helping businesses confidently adopt AI in customer-facing and internal operations.","Birkirkara, Malta","ai, conversational ai, customer service, ai asissistants",Between €1-€100K,2023,http://copianto.ai,Active,https://www.linkedin.com/company/copianto,MT
Thundercrawl â LLMs.txt Generator,https://www.eu-startups.com/directory/thundercrawl-llmstxt-generator/,Malta,Thundercrawl is a cutting-edge tool designed to supercharge your website's visibility by generating AI-friendly LLMs.txt files,"Thundercrawl is a cutting-edge tool designed to supercharge your website's visibility by generating AI-friendly LLMs.txt files. Tailored for large language models (LLMs) like ChatGPT, Claude, and Gemini, Thundercrawl transforms your website content into structured, markdown-formatted text files that enhance AI comprehension and drive referral traffic from AI-powered platforms. With a free test option, users can convert up to 5 pages, 10 blogs, and 10 products into an LLMs.txt file, ensuring your site is easily discoverable by AI systems. For advanced needs, premium plans offer expanded capabilities, including full-site crawls and customizable processing options. Simply input your website URL, select your processing mode, and let Thundercrawl empower your site with lightning-fast, AI-optimized solutions. Unleash your website’s potential today at https://thundercrawl.com. © 2025 Thundercrawl.com - Empowering the world with lightning-fast solutions.What is LLMs.txt?LLMs.txt is a proposed web standard designed to make website content more accessible and understandable to large language models (LLMs) like ChatGPT, Claude, and Gemini. Unlike traditional SEO files like robots.txt (which controls search engine crawling) or sitemap.xml (which aids discovery), LLMs.txt provides a markdown-formatted file that curates and summarizes a website’s most important content in a clean, AI-friendly format. Hosted in a website’s root directory (e.g., yourwebsite.com/llms.txt), it helps LLMs efficiently process key information, such as API documentation, product details, or blog summaries, without navigating complex HTML structures, navigation menus, or ads. Key features of LLMs.txt include:Structured Markdown Format: Contains an H1 header with the site’s name, a blockquote summary, and sections with curated links or full text to guide AI models to high-value content.
AI Optimization: Enhances visibility in AI-generated responses, improving accuracy and relevance in chatbot answers or AI-driven search results.
Versatility: Useful for developers (e.g., for API documentation), businesses (e.g., for product descriptions), or personal sites (e.g., for CVs or portfolios).
No Blocking: Unlike robots.txt, it doesn’t restrict access but acts as a “treasure map” to direct LLMs to the most relevant content.
By implementing LLMs.txt, website owners can boost their site’s discoverability in AI-powered interactions, potentially increasing referral traffic and ensuring accurate representation in AI responses. Tools like Thundercrawl simplify the creation of these files, making it accessible for marketers, developers, and site owners.",Sliema,"llms.txt, llms txt, llms.txt generator, llms txt generator, llm.txt, llm txt, llm txt generator, thundercrawl",No funding announced yet,2025,https://thundercrawl.com/,Active,,MT
Property Marketplace,https://www.eu-startups.com/directory/property-marketplace/,Malta,"- A centralized property marketplace for agents, agencies, & private sellers.
 - Features 360-degree & property tours and video presentations to improve user experience.
 - Caters to real estate agents, agencies, and individual owners.",,Valella,"proptech, marketing, tourism",Between €1-€100K,2025,https://propertiesmt.com/,Active,,MT
Greenroads,https://www.eu-startups.com/directory/greenroads/,Malta,"Greenroads offers a solution to boost traffic safety and infrastructure improvements through video analysis. Leveraging video footage from drones or standard  cameras detailed insights on traffic flows and road user behaviours are extracted. Key features include traffic reports, multicamera tracking, mode recognition, heatmap generation, trajectories, origin destination matrixes and heatmaps","Greenroads works on solutions that make transportation infrastructure smarter, safer, and more sustainable. Our mission is to help cities make better decisions about how to allocate resources and plan for the future of smart cities.
Greenroads has developed a state-of-the-art AI platform that can be used to gather meaningful information from internet-connected cameras and footage captured by drones, giving urban planners and authorities access to new data sources with which to take data-driven decisions. Our vision is for our cloud based and privacy preserving data pipeline to become the backbone for the collection and processing of mobility data around the world.
Our software can automatically handle all types of mobility and has a special focus on active mobility such as the safety of pedestrians and cyclists. It is already being used in Europe to understand the movement of vehicles and pedestrians, identify congestion, and measure the impact of transportation network upgrades and policies. We are planning to expand to the MENA and North American markets in the near future.
Working together with leading academics in the field, we are presently in the process of extending our data pipeline to allow for predictive and rerouting analysis in case of disturbances to the infrastructure, such as road closures or sudden increases in traffic influx.
We seek to grow both vertically, providing a solution that seamlessly connects infrastructure to smart vehicles to help reach zero road deaths, and horizontally, applying our technologies to specific markets such as security of controlled-access areas or monitoring of smart parks.
Greenroads has been highly successful in attracting competitive European Union grant funding. This has helped us bootstrap our start-up and finish our MVP. The resulting product is being made commercially available to prospective clients internationally.
The European Commission has recently labelled Greenroads as a ‘key innovator’ on its Innovation Radar. We won best pitch in the EIT’s Urban Mobility Investment Readiness Accelerator Programme, and in 2023 won both Startup of the Year and Green Transport Initiative awards from the Malta Chamber of SMEs. The company is raising its first round of capital and is one of the portfolio companies of the European Institute of Innovation & Technology (EIT).",Msida,"Smart City, Drones, Computer Vision",Between €500K-€ 1 million,2019,Greenroads.ai,Active,,MT
PayRam,https://www.eu-startups.com/directory/payram/,Malta,"PayRam empowers high-risk businesses to accept secure, no-KYC crypto payments with full ownership, reduced fees, and operate globally, with zero third-party risks.","PayRam is designed to empower high- and medium-risk businesses—like iGaming platforms, casinos, adult sites, e-commerce stores, marketplaces, and charities—to accept cryptocurrency payments securely and efficiently.
Unlike traditional payment processors, PayRam’s no-KYC crypto payment solution gives merchants complete ownership of their payment systems. This means no third-party interference, no chargebacks, no fund locks, and full control over your transactions.
Our decentralized gateway offers a one-stop solution for businesses seeking financial autonomy. With PayRam, you can: 
* Avoid Payment Bans: Operate freely without restrictions from banks or traditional processors.
* Reduce Costs: Enjoy transaction fees as low as 0.5%, saving significantly compared to legacy systems.
* Achieve Global Reach: Accept payments in Bitcoin (BTC), Ethereum (ETH), USDT, and more from 195+ countries.
* Secure Your Business: Protect against fraud with blockchain-backed transactions and privacy-first infrastructure.
PayRam is built for businesses navigating complex challenges in high-risk industries. Whether you’re looking to bypass regulatory hurdles or expand into global markets, PayRam ensures seamless crypto payments with unmatched security and efficiency.
Take control of your payments today with PayRam—your trusted partner for decentralized financial freedom!",Valletta,"self hosted crypto payment processor, crypto payment gateway, payment processor",Between €100K-€500K,2024,https://payram.com,Active,https://www.linkedin.com/company/payram,MT
SPLForge,https://www.eu-startups.com/directory/splforge/,Malta,"SPLForge is a secure, fast, and user-friendly platform to create SPL tokens and liquidity pools.","At SPLForge, we believe in democratizing token creation on the Solana blockchain. Our mission is to provide a secure, fast, and user-friendly platform that empowers individuals and projects to bring their ideas to life.
By leveraging Solana's high-speed, low-cost infrastructure, we aim to foster innovation and creativity within the blockchain ecosystem.",Malta,"solana,tokens,crypto,web3",No funding announced yet,2024,https://splforge.xyz,Active,,MT
Smart Materials Limited,https://www.eu-startups.com/directory/smart-materials-limited/,Malta,"Smart Materials has pioneered Zetic Foam, leveraging a patented,
scalable production method to create auxetic polyurethane
materials that redefines comfort, durability, and sustainability in
various industries, starting from sleep. By launching its own high-
performance mattress brand (Huggah), Smart Materials is bringing
Zetic directly to consumers before scaling production and exploring
licensing opportunities.

Beyond sleep, Zetic Foam’s unique properties make it ideal for
protective gear, footwear, and apparel, outperforming conventional
foams in durability, adaptability, and impact absorption. Leading
industry giants have expressed strong interest as potential
partners for these future applications.",,Qormi,"high performing materials, polyurethane foam innovation, deep tech pioneer, future of comfort mattress",Between €500K-€ 1 million,2020,https://thesmartmaterials.com/,Active,https://www.linkedin.com/company/smart-materials-limited/,MT
LHM Global,https://www.eu-startups.com/directory/lhm-global/,Malta,"LHM Global specializes in hotel market entry and international sales expansion. We provide fixed-price services tailored to hotels and resorts, including travel trade connections, market viability research, competitive analysis, and localized sales material in 20+ languages. Our data-driven approach ensures efficient access to key sales partners, travel agencies, and distribution networks worldwide, helping hotels maximize bookings and revenue.","LHM Global helps hotels and resorts expand into new markets with ease. We offer fixed-price, results-driven services designed to connect hospitality businesses with the right sales partners, travel agencies, and distribution channels. Our expertise includes in-depth market research, competitor analysis, and market viability audits, ensuring that your property enters the right market with the best possible strategy. Additionally, we develop culturally adapted sales brochures and marketing materials in 20+ languages to ensure maximum impact. Whether you’re seeking new partnerships in Europe, Asia, the Middle East, or beyond, LHM Global simplifies international hotel sales with a transparent and efficient approach.",Malta,"hotels, tourism, travel, resorts",No funding announced yet,2024,https://lhmglobal.com,Active,,MT
generate.TAX,https://www.eu-startups.com/directory/generate.tax,Malta,generate.TAX is a tax suite that seamlessly connects to your accounting software and helps accountants and finance teams with statutory tax compliance/obligations.,"generate.TAX stemmed from a realisation that there was a gap in existing accounting software, such as Xero, which lacked functionality to support specific local requirements with regards generating tax and VAT reports. 
Accountants and finance professionals needed to adhere to strict local regulations, but current software didn't provide the necessary localised tools or data for them to fulfil their responsibilities with ease. This resulted in additional manual work to ensure compliance, increasing the risk of errors and wasting valuable time.
Recognising this unmet need, we began by developing a solution tailored to the Malta market. We saw a clear requirement for a tool that could handle VAT submissions efficiently through a software that integrates seamlessly with existing accounting systems to automate the generation of VAT returns.
The result is a system that is designed to benefit both accountants and businesses. For accountants, it simplifies VAT return preparation by extracting data from the accounting software and generating VAT reports with just one click. Additionally for businesses, it helps manage VAT deadlines and settle liabilities efficiently, minimising misstatements and enhancing financial control and compliance. Designed to be a comprehensive solution for all VAT activities, generate.TAX’s features include Compliance Reminders, an Invoice VIES Checker, Return Preparation, Record-Keeping, Audit Trails, and a Return Generator.
After launching in Malta and receiving positive feedback and adoption from industry professionals, we explored the broader EMEA region and discovered that similar challenges existed elsewhere. As a result, we expanded our software’s functionality to address the needs of additional countries such as Cyprus, Ireland, UAE, Isle of Man, Sweden, and the Netherlands. We also incorporated other VAT-related services, such as recap statements and a VAT number checker, to ensure comprehensive support .",Malta,"VAT, VAT Returns, VAT Return Generator, VAT Number Checker",No funding announced yet,2023,https://generate.tax,Active,https://www.linkedin.com/company/generate-tax/,MT
Chatform AI,https://www.eu-startups.com/directory/chatform-ai/,Malta,AI Customer Support Agents for iGaming,The most advanced iGaming specific AI support agents that give every player an incredible VIP-like support experience to all players.,Valetta,"ai agents, cs, cx, igaming",No funding announced yet,2022,https://chatform.com,Active,,MT
