name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,country,linkedin
dappdetect,https://www.eu-startups.com/directory/dappdetect/,Bulgaria,"dappdetect safeguards crypto projects by detecting and resolving false scam or phishing flags across wallets, domains, and smart contracts. By monitoring 15+ blacklist and threat intelligence sources, it provides real-time alerts and step-by-step resolution tools to help teams recover quickly, maintain credibility, and prevent unnecessary disruptions. Ideal for DeFi, NFT, and Web3 platforms looking to protect their assets and reputation.","dappdetect is a comprehensive monitoring and resolution platform purpose-built for the crypto ecosystem. False scam or phishing flags on blockchain assets—such as wallet addresses, domain names, and smart contracts—can significantly harm user trust, restrict access, and lead to major revenue losses. dappdetect empowers teams to take control of their reputation by continuously scanning 15+ blacklist and threat intelligence providers for any red flags affecting their assets.
When a wallet or domain is falsely flagged, dappdetect provides immediate alerts along with detailed diagnostics showing which provider issued the warning, the nature of the flag, and its potential impact. Through a clean dashboard, teams can easily monitor status across all assets and initiate guided workflows to request delisting or correction. The platform includes customizable outreach templates, automated escalation tools, and expert-backed recommendations to help resolve issues quickly and effectively.
dappdetect supports DeFi platforms, NFT marketplaces, wallets, exchanges, and any Web3 project that relies on maintaining trust, uptime, and brand reputation. Whether your users are being blocked from interacting with your contracts or your domain is flagged by browsers or search engines, dappdetect gives you the visibility, control, and tools to respond fast and stay protected.",dappdetect,"crypto security, blacklist monitoring, false flag resolution",Between €2.5 million-5 million,2025,https://dappdetect.com,Active,BG,
Maitreya FieldsÂ®,https://www.eu-startups.com/directory/maitreya-fields/,Bulgaria,"Beauty that Transforms from Within

At Maitreya Fields®, we create more than skincare—we offer transformational tools for mind, body, and spirit. Each product is carefully formulated with high-quality organic oils, botanicals, and active ingredients to support the skin’s natural balance, free from harmful chemicals, synthetics, or artificial fragrances.

What makes our cosmetics truly unique is that every item is energetically charged with Maitreya Reiki—a high-vibrational energy designed to support healing, transformation, and inner awakening. This subtle energetic infusion amplifies the effects of both the product and the guided meditations that accompany it.

Each product comes with a guided visualization journey—a mystical experience crafted to awaken imagination, support emotional release, and empower personal growth. When combined with the product itself, this mind-body synergy enhances results on all levels: physical, emotional, mental, and spiritual.

We are deeply committed to ethical sourcing, sustainability, and cruelty-free practices. Our mission is to nurture both people and the planet with pure, conscious creations.

Maitreya Fields® – where skincare meets soul care.",,Sofia,"organic skincare, natural skincare",No funding announced yet,2020,https://maitreyacosmetics.com,,BG,https://www.linkedin.com/in/stefani-rangelova-b7a131370/
Natura Root Labs,https://www.eu-startups.com/directory/natura-root-labs/,Bulgaria,"Natura Root Labs engineers clean-label dietary supplements that merge ancestral botanicals with contemporary nutraceutical science. Research hubs and partner labs validate every ingredient, while production occurs in FDA-registered, cGMP facilities. The result: evidence-based formulas supporting fat metabolism, glucose balance, cognitive focus and longevity in 40+ countries.","Natura Root Labs engineers clean-label dietary supplements that merge ancestral botanicals with contemporary nutraceutical science. Research hubs and partner labs validate every ingredient, while production occurs in FDA-registered, cGMP facilities. The result: evidence-based formulas supporting fat metabolism, glucose balance, cognitive focus and longevity in 40+ countries.",Blagoevgrad,Natural Health & Wellness · Nutraceuticals · Consumer Goods,No funding announced yet,2015,https://www.naturarootlabs.com,Active,BG,
AdCider,https://www.eu-startups.com/directory/adcider/,Bulgaria,AdCider uses AI to automate Apple Search Result Ads - from keyword research to bid optimization - you can save time and get back to building your app.,,Sofia,"apple, advertising, ai, marketing, automation",No funding announced yet,2025,adcider.com,Active,BG,https://www.linkedin.com/in/nikolaynankov/
Toddlr,https://www.eu-startups.com/directory/toddlr/,Bulgaria,"Toddlr is an immersive time-framed mobile application that develops cognitive, logical, and motor skills through play for children aged 3-7.","Every parent wants their child to grow up curious, confident, and capable — but screen time often feels like a compromise between fun and development. At Toddlr, we believe play should build minds, not just pass time. That's why we developed an application to develop skills and creativity through play for children aged 3-7. Our augmented reality feature serves as the bridge between digital and physical play. With our built-in daily time limit mechanic, parents can wean children off the screen without any tantrums.",Sofia,"EdTech,Edutainment,",No funding announced yet,2025,https://www.toddlrapp.com,Active,BG,https://www.linkedin.com/company/toddlr-games/
AugforM,https://www.eu-startups.com/directory/augform/,Bulgaria,"The platform for showing advertisements inside media content: images, and video. The site owner/content creator will decide what advertisement(what he really wants to advertise), when inside an image, and at what time it will be displayed(user could show different advertisement in different time). AugforM allows your message to become a natural part of the content.",,Sofia,"Virtual Product Placement, Advertisement services, Computer Vision",Between €100K-€500K,2024,https://augform.com/,Active,BG,https://www.linkedin.com/company/augform/
way.express,https://www.eu-startups.com/directory/wayexpress/,Bulgaria,"Our monetization model is Transactional model.
We earn a commission on each ticket sold, this commission provided by the carrier. 
Our priority is to work with large companies and co-branding partnerships with major system organizations, such as mobile operators, banks, and national payment systems.",,Varna,"Travel Arrangements, Best prices, Unlimited possibilities",Between €100K-€500K,2024,https://way.express,Active,BG,https://www.linkedin.com/company/way-express/
Predicto,https://www.eu-startups.com/directory/predicto/,Bulgaria,Predicto is plug n play predictive maintenance solution that allows everyone to get the benefits from predictive maintenance. We aim to cover 90+% of all rotating equipment in a production plant without the need of any internal infrastructure or trained staff in vibration diagnostics. PREDICTO is a plug an play predicative maintenance solution for monitoring of all equipment – critical and non-critical.,,Razgrad,"Commercial, Industrial Machinery Maintenance, Condition Monitoring",Between €100K-€500K,2024,https://predicto.app/,Active,BG,https://www.linkedin.com/company/predictoltd/
Olaboard,https://www.eu-startups.com/directory/olaboard/,Bulgaria,"We employ a half-year subscription model. This way we balance out business commitment and product value. For a company with less than 10 people within Engineering, it's free. Tech-wise, we use Python, React and OpenAI's LLM.",,Sofia,"Information Services, AI, EQ tool",Between €100K-€500K,2024,https://olaboard.co/,Active,BG,https://www.linkedin.com/company/olaboard/
GetMyLook,https://www.eu-startups.com/directory/getmylook/,Bulgaria,"AI-driven stylist app for fashion retailers on digital signage, offering instant personalized outfit recommendations based on customers' appearance and style and handling custom requests.
We are a B2B SaaS product targeting digitally aware fashion retailers. 
Our initial business model offers two options: subscription based on number of screen and feature tiers, and commission based on sales through our solution.""",,Sofia,"Retail Apparel, Fashion, AI Stylist",Between €100K-€500K,2024,https://getmylook.ai,Active,BG,https://www.linkedin.com/company/getmylook/
