name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country
beeco,https://www.eu-startups.com/directory/beeco/,Hungary,"Beeco solves the gap between people who want to live sustainably and the hidden solutions around them. Individuals face eco-anxiety, misinformation, and a lack of transparency, while eco-friendly SMEs struggle to gain digital visibility and reach conscious consumers. Beeco connects the two sides with a green map, event calendar, coupons, gamified challenges, and education—turning sustainable living from something overwhelming and isolating into something simple, social, and rewarding, while helping local green businesses thrive.","Beeco: Turning eco-anxiety into collective action
Beeco is a digital ecosystem that empowers people to live more sustainably while helping local green businesses thrive. Our mission is to make sustainable living simple, social, and rewarding by connecting individuals, communities, and SMEs through one engaging platform.
At the core of Beeco is a green map, where users can easily discover eco-friendly locations around them zero-waste shops, repair cafés, bike services, refill stations, recycling points, sustainable restaurants, and more. This is complemented by an event calendar that highlights local green activities such as workshops, volunteering opportunities, and climate marches, allowing people to connect with communities and take action together.
To lower the barrier to sustainable choices, Beeco integrates a coupon system offering discounts from eco-friendly SMEs. For users, this makes greener options more accessible; for SMEs, it provides digital visibility and direct access to conscious consumers. In addition, Beeco features gamified challenges and competitions, rewarding users for sustainable actions such as tree-watering, attending events, or redeeming coupons transforming eco-friendly behavior into a fun and motivating experience.
Education is central to our platform. Users can access an educational feed with videos and quizzes, as well as a personal footprint calculator, helping them measure, understand, and reduce their environmental impact step by step.
Beeco is more than just an app it is an open platform for sustainability campaigns and collaborations. Our successful Volunteer Watering campaign mobilized thousands of citizens to protect urban trees during hot summers, showing how Beeco can unite communities around tangible climate action.
With 15,000+ users and 30 subscribing partners in Hungary, we are now preparing for international expansion, starting with Sweden, Germany, and Spain. Our long-term vision is to create a global movement where sustainable choices become visible, normal, and celebrated accelerating the transition to a greener, more inclusive economy.",Budapest,"Sustainability, Education, Marketing, Action",Between €1-€100K,2023,https://www.beeco.hu/hu,Active,https://www.linkedin.com/company/93244289/admin/dashboard/,HU
No Planet B Travel with B,https://www.eu-startups.com/directory/no-planet-b-travel-with-b/,Hungary,"No Planet B – Travel with B is a women-led sustainable travel company offering curated small-group journeys that highlight female-led initiatives and regenerative tourism practices around the world. Our business model is built on direct partnerships with local communities, ethical accommodations, and social enterprises, ensuring that tourism has a positive local impact. We organize several thematic trips annually, each focused on cultural immersion, environmental awareness, and community-based experiences.",,Hungary,"Sustainable Travel, Accommodations, Social enterprises",Between €100K-€500K,2025,https://noplanetbtravelwithb.com/en/,Active,https://www.linkedin.com/in/bianka-benko-89509861/?originalSubdomain=hu,HU
LynXes Innovation,https://www.eu-startups.com/directory/lynxes-innovation/,Hungary,"LynXes' mission is to open new horizons for industrial and academic R&D by democratizing the access to high-energy-resolution X-ray spectroscopies (HERXS) technology. We believe that our technology will create a better world by boosting several key R&D and QA processes, especially in highly future-oriented sectors such as green chemistry, green energy, pharma, waste management, data storage, etc. To achieve this, we have to create a practically new market segment, where our position will be ab ovo unique. We can give access to our ground-breaking technology to a wide range of stakeholders from industrial to academic and from small to large due to our affordable technology and our well-structured product and service portfolio.",,Budapest,"AI Solutions, Custom Software Development, Digital Transformation",Between €500K-€ 1 million,2021,https://lynxes.eu,Active,https://www.linkedin.com/company/lynxes-innovation-ltd/,HU
Cascade Event System,https://www.eu-startups.com/directory/cascade-event-system/,Hungary,"""Our solution: Visual event scenario
 With our cloud-based software, users can create the scenario of even the most complex festivals on a graphical design interface by combining building blocks. During execution, organizers gain an unparalleled overview of real-time processes through diagram views accessible via smartphones and tablets.""",,Eger,"Event Management, Workflow Automation, Visual Planning",Between €100K-€500K,2021,https://cascad.hu/,Active,,HU
NEO Antigen,https://www.eu-startups.com/directory/neo-antigen/,Hungary,"""Our group designed a special recombinant peptide, which has a very strong membrane binding capacity and high oligomerization property. It stabilizes membrane vesicles extremely well. The C-terminus of the recombinant peptide can be conjugated with any antigen peptide sequence recombinantly. Our novel vaccine platform based on this peptide might become a very useful tool for immunization technique.
 
 With the help of our special immunization platforms, it is possible to develop highly effective, target-oriented vaccines.""",,Pécs,"Immunotherapy, Biotechnology, Vaccine Development",Between €500K-€ 1 million,2021,https://neoag.eu,Active,https://www.linkedin.com/company/neo-antigen-biotechnology/,HU
GuardenAI,https://www.eu-startups.com/directory/guardenai/,Hungary,"We call our business model Debugging-as-a-Service. Farmers pay for the service our robots provide and pay by land area. During the whole season our robots monitor the fields and kill detected pests, but no other insects. Real time data is evaluated by the robots autonomously, and also uploaded.",,Budapest,"AI-Powered Environmental Monitoring, Sustainable Technology Solutions, Predictive Ecosystem Management",Between €100K-€500K,2023,https://guarden.ai/,Active,https://www.linkedin.com/company/guardenai/,HU
Meter-reader.com,https://www.eu-startups.com/directory/meter-reader.com,Hungary,"As Salas company, we provide a service (and optionally our own reading device) to help owners, landlords or facility management companies to remotely read utility consumptions without buying smart readers. The model also support utility companies to collect consumptions automatically.",,Dunakeszi,"AI-Powered Meter Reading, Smart Metering Without Hardware Replacement, User-Friendly Dashboard and Analytics",Between €100K-€500K,2023,https://meter-reader.com/,Active,https://www.linkedin.com/company/meter-reader-com/,HU
SentNotes,https://www.eu-startups.com/directory/sentnotes/,Hungary,"""SentNotes is developing a decentralized protocol for secure dynamic data management, leveraging Intel SGX, Adaptive Proof of Ownership (APoO), Directed Acyclic Graphs (DAGs), and Proof of Stake (PoS). This protocol ensures data privacy, ownership, and interoperability while enabling individuals to control, share, and monetize data within a secure protocol.
 
 Our Adaptive Proof of Ownership (APoO) model ensures that digital assets focusing on IoT data-Electronic Health Records and academic intellectual property, evolve transparently based on contributions and interactions to show ownership and track changes as the asset evolves over time.
 
 By integrating smart contracts and decentralized governance, SentNotes facilitates seamless asset management, automated royalties, and fair attribution for creators and stakeholders. This technology enables scalable, tamper-proof, and privacy-enhanced solutions for industries requiring dynamic asset tracking and ownership verification. Revenue will be generated through transaction fees, commissions and proprietary licensing.""",,Budapest,"Web3-Enabled Social Note Sharing, Dynamic NFTs & Fractional Ownership, Secure Health Data Integration, Community-Driven Content Moderation",Between €100K-€500K,2024,https://sentnotes.io/,Active,,HU
AIGardenPlanner,https://www.eu-startups.com/directory/aigardenplanner/,Hungary,"AIGardenPlanner revolutionizes garden design with its AI-powered platform that allows users to easily create personalized garden layouts. Upload a photo of your current garden, and the AI will generate design suggestions based on your style preferences and garden size. With more than 50 garden styles to choose from, users can explore everything from contemporary minimalist gardens to exotic tropical landscapes. The AI takes into account your garden’s specific conditions, such as sunlight, soil, and space, ensuring that your design is both beautiful and functional. The platform also offers a unique AIGardening Advisor, which provides personalized plant recommendations tailored to your local climate and soil. This feature guarantees that the plants selected will thrive in your garden, enhancing its beauty and longevity. AIGardenPlanner’s flexible pricing options make it an accessible tool for both hobbyists and professionals alike. Whether you’re creating a garden from scratch or simply refreshing an existing one, AIGardenPlanner helps you bring your vision to life with ease.",,Budapest,"SaaS, Garden Tech, Design Software",Between €1-€100K,2023,https://aigardenplanner.com/,,,HU
ZÃ¼mi Technology,https://www.eu-startups.com/directory/zumi-technology/,Hungary,ZÜMI transforms lead capture and management for exhibitors at trade shows by putting AI to work - one tool for all your events!,"Exhibiting at events is a powerful but costly marketing investment, often hindered by manual tasks, disconnected tools, and delayed follow-ups. Traditional approaches make it challenging for sales and marketing leaders to capture and follow up leads effectively and quickly, losing valuable time and money.
ZÜMI transforms trade show sales by putting AI to work - one tool for all your events! 
Our platform automates lead capture, delivers real-time insights, and enables immediate, personalised follow-ups—all in one seamless solution. By streamlining the entire lead-to-deal process, ZÜMI empowers sales teams to connect with top prospects in real time, follow up on the spot, and maximize event impact. Say goodbye to disconnected tools and manual follow-ups resulting in lost leads and missed opportunities—ZÜMI helps you turn every conference or tradeshow interaction into measurable revenue.",Budapest,"Lead capture, sales automation, ai, sales tech, saas",No funding announced yet,2024,https://yourzumi.com,Idea Stage,https://www.linkedin.com/company/yourz%C3%BCmi/,HU
