name,link,category,businessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country,longBusinessDescription
Dandelier AI,https://www.eu-startups.com/directory/dandelier-ai/,Finland,"Dandelier is an AI-powered SaaS tool that automates quoting, proposals, and marketing materials for small travel businesses. Our platform uses API integrations to fetch real-time prices and availability from booking systems (PMS), and AI to generate multilingual, visual proposals in minutes. Customers can also import product content from websites and PDFs AI-assisted, reducing manual work dramatically.",Finland,"AI, SaaS, Travel, Hospitality",Between €100K-€500K,2025,https://dandelier.com/,Active,https://www.linkedin.com/company/dandelier-ai/,FI,
Clarvo,https://www.eu-startups.com/directory/clarvo/,Finland,"Train your own AI career agent to represent you on the job market. Never miss the right career opportunity again. You hate spam and we hate it too, which is why we prioritize quality over quantity, in getting you your next job.",Helsinki,"AI, Recruitment, Talent, Jobs",Between €100K-€500K,2023,https://www.clarvo.ai,Active,https://www.linkedin.com/company/clarvo,FI,"Clarvo aims to transform recruitment through AI agents. They are building a platform where AI agents connect job seekers with relevant opportunities worldwide, aiming to break down geographical barriers in hiring. This involves leveraging proprietary data on user career aspirations, salary expectations, and location preferences to match them with suitable jobs.
For job seekers, Clarvo acts as a personal agent, providing a mapping of their career brain and informing them of opportunities that align with their career trajectory. The user-facing product is currently live.
For recruiters, Clarvo's goal is to eliminate the need for traditional ATS systems and CV scanners. They offer a ChatGPT-like interface where recruiters can search for candidates based on skills, experience, and preferences."
NicheRadar,https://www.eu-startups.com/directory/nicheradar/,Finland,Get actionable insights and strategies for niche monetization with NicheRadar.,Vantaa,"SaaS, market analysis, niche monetization",No funding announced yet,2025,https://nicheradar.xyz/,Active,,FI,"NicheRadar is an AI-powered platform designed to help entrepreneurs discover profitable online niches. By analyzing thousands of data points, it provides insights into high-demand niches with low competition. Users can enter keywords to receive niche suggestions, competition analysis, trend alerts, and monetization strategies, making it easier to capitalize on emerging opportunities."
Halide Energy,https://www.eu-startups.com/directory/halide-energy/,Finland,"Copper-based batteries for the renewable energy transition. Halide Energy (formerly CuRen) solves the challenges of energy volatility and grid resiliency through copper flow batteries.

Through innovations in battery stack manufacturing and our unique chemistry, we create a more cost-effective, sustainable, and modular battery technology for industrial and utility adopters.",Espoo,"Battery Technology, Redox Flow Batteries, Grid Ancillary Services, Renewable Energy Equipment Manufacturing",Between €100K-€500K,2025,https://www.halide.energy,Active,https://www.linkedin.com/company/halideenergy/,FI,
The Creative Corner,https://www.eu-startups.com/directory/the-creative-corner/,Finland,"We operate a win-win-win business model: For people, profit, and the planet.
Upcies's focus is to help save good and recyclable furniture from going to waste. By doing so, we help businesses unlock revenue from their surplus product, help consumers enjoy good furniture at great value for money, and empower our people and partners to help protect the environment.""",Finland,"Technology, Information, Media",Between €100K-€500K,2024,https://www.thecreativecorner.fi/,Active,https://www.linkedin.com/company/the-creative-corner-fi/,FI,
Nomain,https://www.eu-startups.com/directory/nomain/,Finland,"Our business model is B2B SaaS where we sell licences to our mainframe modernisation tool to banks and insurance companies across the world. Our technology enables developers and business analysts to understand the incredibly complex systems that they are working with and hence, modernise, maintain and build new and better systems. We help companies to understand their critical legacy systems.",Helsinki,"Legacy Modernisation, Fintech, Insurtech, Mainframes",Between €500K-€ 1 million,2024,https://www.nomain.com/,Active,https://www.linkedin.com/company/nomain/,FI,
Clinexus,https://www.eu-startups.com/directory/clinexus/,Finland,Software-as-a-Service (SaaS) for a Clinical Decision Support System (CDSS) to support healthcare practitioners powered by Large Language Models (LLMs). The Nexus of Empowered Practice and Streamlined Care for Practitioners. A unified solution to streamline documentation and workload for medical practitioners.,Finland,"SaaS, CDSS, LLMs",Between €100K-€500K,2024,https://clinexus.vercel.app/,Active,https://www.linkedin.com/company/vercel/,FI,
Vesko,https://www.eu-startups.com/directory/vesko/,Finland,"We are developing a marketplace that provides omni-channel solutions for SME retailers, facilitating seamless consumer transitions from online browsing to in-store purchasing. Our revenue model is based on subscription fees and advertising. Building the world’s first omnichannel-powered marketplace.",Joensuu,"Internet Marketplace Platforms, Omnichannel, E-commerce",Between €100K-€500K,2024,https://vesko.fi,Active,https://www.linkedin.com/company/veskoltd/,FI,
CatwalkCraft AI,https://www.eu-startups.com/directory/catwalkcraft-ai/,Finland,"CatwalkCraft AI operates on a B2B SaaS subscription model that empowers fashion retailers, SMEs, and second-hand shops to create hyper-realistic virtual models and dynamic marketing visuals. Our AI-powered platform offers features like real-time customization, dynamic posing, and virtual runway shows, eliminating the need for costly and time-consuming photoshoots. By providing affordable, scalable, and sustainable solutions, we help businesses boost engagement, reduce costs, and align with modern consumer demands.",Helsinki,"Technology, AI-Powered Visuals for Engaging, Cost-Effective, Sustainable Solutions",No funding announced yet,2024,https://catwalkcraft.com/,Active,https://www.linkedin.com/company/catwalkcraftai/,FI,
a better monday,https://www.eu-startups.com/directory/a-better-monday/,Finland,"We are building a social impact platform to bridge the global wealth gap by acquiring great SMEs from the tsunami of retiring owners and transfer the ownership to employees. Our Mission is to create 10,000 employee owners. This will help retiring owners to exit their business, preserving their legacy and protecting their most trusted employees and customers.",Finland,"Financial Services, Investors, Educating small business owners",Between €100K-€500K,2024,https://abettermonday.me,Active,https://www.linkedin.com/company/abettermonday/,FI,
Dundee ID,https://www.eu-startups.com/directory/dundee-id/,Finland,Develops a solution for managing secure fingerprint authentication for payments and granting access. Solution contains both software and hardware; Platform for managing authentication and transaction. Fingerprint reader device for secure authentication of the consumer; Consumer app.,Finland,"IT System Data Services, Consumer app, Software Product Company",Between €100K-€500K,2024,https://www.dundee.id/,Active,https://www.linkedin.com/company/dundeeid/,FI,
Bondsio,https://www.eu-startups.com/directory/bondsio/,Finland,"Bondsio is a peer-to-peer mobile platform that connects people through spontaneous, community-driven local activities. We use real-time social networking to empower individuals to live enriched lives. By ""enriched lives,"" we mean enhancing personal, professional, and social well-being through meaningful, community-focused activities.",Helsinki,"Social Networking Platforms, Community Building, Interest-Based Connections",Between €500K-€ 1 million,2024,https://www.bondsio.com/,Active,https://www.linkedin.com/company/bondsio/,FI,
Epic Scape,https://www.eu-startups.com/directory/epic-scape/,Finland,"Dive into Epic Scape, the real-life Da Vinci Code! This free, web-based city adventure game combines exciting puzzles with immersive exploration.
 
We transform cities into vibrant playgrounds for learning, using escape room techniques and innovative pedagogy. Whether it’s a library, museum, or park, Epic Scape promises an unforgettable experience!.",Helsinki,"Educational, Innovative Pedagogy, EGame",Between €100K-€500K,2024,https://www.epicscape.game,Active,https://www.linkedin.com/in/jyri-puhakka/,FI,
thinnan,https://www.eu-startups.com/directory/thinnan/,Finland,"thinnan operates on a dual-revenue model combining social media monetization with specialized food services. Revenue streams include targeted food-related advertising, platform fees from professional hosts, and partnerships with grocery stores and local food suppliers. thinnan’s core technology leverages AI-driven personalization to recommend cookouts and enhance user engagement, while facilitating seamless interactions through shared experiences, collaborative posts, and real-time notifications.",Helsinki,"Social Networking Platforms, Online App, Social Food Network",Between €100K-€500K,2024,https://www.thinnan.com,Active,https://www.linkedin.com/company/thinnan/,FI,
GreenFi,https://www.eu-startups.com/directory/greenfi/,Finland,"Climate Tech, B2B SaaS, Automating ESG Risk Management. Greenfi helps banks and businesses to automate ESG due diligence and compliance. ESG Due Diligence & Risk Assessment Software.",Finland,"Financial Services, Climate Tech, B2B SaaS, Automating ESG Risk Management",Between €100K-€500K,2024,https://greenfi.ai,Active,https://www.linkedin.com/company/greenfi-ai/,FI,
Lejit,https://www.eu-startups.com/directory/lejit/,Finland,"Legal tech software, B2B SaaS, Ai software for legal automation. AI Legal Assistant, helping legal sector to be smarter & fairer. AI-powered platform transforming the legal processes by integrating everything from matter creation, finding a suitable law firm, representation agreement, case documents creation, recommendations, communications, to payment into one seamless system.",Finland,"Legal tech software, B2B SaaS, Ai software, Legal Services",Between €100K-€500K,2024,https://lejit.ai,Active,https://www.linkedin.com/company/lejit-ai/,FI,
Preloved Coffee,https://www.eu-startups.com/directory/preloved-coffee/,Finland,"Upcycling spent coffee grounds into biomaterials for cosmetics, bioplastic and cellulose businesses. We are a sustainability passionate group of people. #PrelovedCoffee is the Start-Up bringing coffee grounds into the economy as a Raw-Material for high value-added products.",Turku,"Recycled Product Development, Supply Chain, Coffee Grounds, Sustainability",Between €100K-€500K,2023,https://prelovedcoffee.com,Active,https://www.linkedin.com/company/prelovedcoffee/,FI,
Coubonga,https://www.eu-startups.com/directory/coubonga/,Finland,"Coubonga is a gamified mobile platform that connects consumers with businesses through engaging and easy-to-use digital coupons. Our business model is built on a flexible subscription system for partners and CPA-based agreements for specific customer segments. With different gamified features, Coubonga revolutionizes how consumers interact with discounts while helping businesses increase visibility and customer loyalty.",Oulu,"Marketing Services, Advertising, Online App",Between €500K-€ 1 million,2023,https://coubonga.com,Active,https://www.linkedin.com/company/coubonga/,FI,
The Warming Surfaces Company Ltd,https://www.eu-startups.com/directory/the-warming-surfaces-company-ltd/,Finland,"Halia digital warming surfaces does to heating, what LEDs did to lighting. Our proprietary fast response radiant warming technology integrates inside interior surface materials and furniture for the most economic (material and energy saving) way to bring warmth to living spaces and enable healthier living environments. The design and production of Halia warming will be spread under a franchising model, and the intelligent warming surfaces will enable a myriad of digital tools for real time temperature control and even warmth-as-a-business.",Oulu,"Technology, Information, Internet",Between €500K-€ 1 million,2022,https://www.warmingsurfaces.com/,Active,https://www.linkedin.com/company/the-warming-surfaces-company/,FI,
eWatt Smart Power Systems,https://www.eu-startups.com/directory/ewatt-smart-power-systems/,Finland,Building Efficient Energy Solutions. eWatt Smart Power Systems offer electricity analysis services that help companies to reduce their electricity consumption. Our customers' savings are between 15-40% depending on the destination and starting level.,Jyväskylä,"Embedded Software Products, Electricity Analysis Services, Electricity Consumption Monitoring",Between €100K-€500K,2022,https://www.ewatt.fi/,Active,https://www.linkedin.com/company/ewatt-smart-power/,FI,
dentcense,https://www.eu-startups.com/directory/dentcense/,Finland,"dentcense is dentistry robotic system powered with ai to revolutionize dental care services with higher precision, faster, accessible, more comfortable for both patient and dentist to bring dental services to almost anyone on this planet and beyond. Our business model offers clinics, public health care and private sectors, dentists purchase or lease our system. our software for using the system for dentist is SaaS.",Helsinki,"Dentistry robotic system, Technology, Information, Internet",Between €100K-€500K,2022,https://dentcense.com/,Active,https://www.linkedin.com/company/dentcense/,FI,
Bout,https://www.eu-startups.com/directory/bout/,Finland,"Marketplace for Waterborne Mobility. Bout is a digital platform for water transportation, increasing the accessibility of maritime locations for consumers. Bout is a marketplace for boat rides, increasing the accessibility of maritime locations for everyone.",Helsinki,"Maritime Transportation, Product, Services",Between €500K-€ 1 million,2018,https://bout.fi,Active,https://www.linkedin.com/company/bout/,FI,
Executive Functioning,https://www.eu-startups.com/directory/executive-functioning/,Finland,"Weel Planner is a revolutionary calendar app tailored for individuals with ADHD. It offers a unique circular time management system that allows users to visualize their entire day at a glance. With features like customizable alarms, event checklists, and color-coded schedules, Weel Planner empowers users to take control of their time and stay organized. Say goodbye to missed appointments and hello to a more structured day with Weel Planner.",Helsinki,"calendar,app,adhd,planner",No funding announced yet,2023,https://www.weelplanner.app,Active,,FI,
Produktly,https://www.eu-startups.com/directory/produktly/,Finland,"Produktly is an all-in-one platform designed to help SaaS companies drive product-led growth through effective onboarding, user engagement, and actionable feedback — without having to bother developers. 

With features like interactive product tours, onboarding checklists, in-app announcements, micro surveys, NPS tracking, and roadmaps, Produktly makes it easy to guide users, communicate updates, and collect insights to improve retention and adoption. 

Whether you're launching a new feature or optimizing user activation, Produktly empowers teams to drive product-led growth effortlessly.",Helsinki,"SaaS,growth,onboarding,digital adoption,product-led growth,PLG",No funding announced yet,2021,https://produktly.com/,Active,,FI,"Produktly is an all-in-one platform designed to help SaaS companies drive product-led growth through effective onboarding, user engagement, and actionable feedback — without having to bother developers. 
With features like interactive product tours, onboarding checklists, in-app announcements, micro surveys, NPS tracking, and roadmaps, Produktly makes it easy to guide users, communicate updates, and collect insights to improve retention and adoption. 
Whether you're launching a new feature or optimizing user activation, Produktly empowers teams to drive product-led growth effortlessly."
Starstuff,https://www.eu-startups.com/directory/starstuff/,Finland,"Playable browser social platform with quick AI gameplay generation from photos, videos and prompts.",Helsinki,"Social media, online games, game creation, Generative AI",Between €1 million-€ 2.5 million,2023,https://starstuff.co,Active,https://www.linkedin.com/company/starstuff,FI,"A team of game industry veterans came together to make it possible for a six year old girl to make a game from photos on a phone in 10 minutes. Now players from around the world come together to create, play and have fun together in a way that just hasn't been possible before. The advanced performance optimization, multimodal AI pipeline and immersive game engine web renderer make it possible for thousands of users to connect in real time simultaneously in one space, on any device, and make their fun moments come to life with others. From playable memes to users' own Fortnites, this is the next era of social media."
