name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Suricate Ventures,https://www.eu-startups.com/investor/suricate-ventures/,"Suricate Ventures is a privately financed venture capital firm with a smart money investment philosophy. We invest in early-stage technology ventures with a focus on Fintech & Insuretech, Gaming, Metaverse, Health and Logistics & Supply Chains. Suricate Ventures combines venture capital, industry expertise and network.",VC Firm,Slovenia,https://www.suricate.ventures/,"Fintech & Insuretech, Gaming, Metaverse, Health, Logistics & Supply Chains",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/suricate-ventures/,[email protected],SI
RUJ VC,https://www.eu-startups.com/investor/ruj-vc/,A Founder-Centric VC Fund Powering Early-Stage Deep Tech Solutions to Massive Global Problems. Investing in breakthrough pre-seed & seed startups in the CEE region.,VC Firm,Slovenia,https://www.ruj.vc/,Deep Tech,0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/rujvc/?viewAsMember=true,[email protected],SI
Venture to Future Fund,https://www.eu-startups.com/investor/venture-to-future-fund/,"We invest in innovation-driven Slovak companies with the potential to become leaders in their segment and succeed on a global scale. INVESTMENT STRATEGY Innovation and teamwork – We like hi-tech industries; however, our focus is not limited to them. Our approach is more comprehensive and what counts the most is the innovation level, the overall uniqueness of the presented solution, and, of course, a skilled team with excellent execution power.",VC Firm,Slovenia,https://vff.sk/,"IoT, SaaS, Mobile Advertising, Healthtech, Blockchain",Above €3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/venture-to-future-fund,[email protected],SI
Silicon Gardens,https://www.eu-startups.com/investor/silicon-gardens-2/,"Silicon Gardens Fund is a venture capital firm dedicated to empowering early-stage technology startups by offering investment, mentoring, and global connections. Established by successful entrepreneurs with notable exits, the fund aims to foster the Slovenian startup ecosystem and support the next generation of ambitious entrepreneurs. Their hands-on approach and strong investor network provide startups with the essential tools and guidance needed for exponential growth.",VC Firm,Slovenia,http://www.silicongardens.com,"software, apps, e-commerce, SaaS, AI, B2B",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/silicon-gardens/,[email protected],SI
Silicon Gardens,https://www.eu-startups.com/investor/silicon-gardens/,"Silicon Gardens Fund is a venture capital firm dedicated to empowering early-stage technology startups by offering investment, mentoring, and global connections. Established by successful entrepreneurs with notable exits, the fund aims to foster the Slovenian startup ecosystem and support the next generation of ambitious entrepreneurs. Their hands-on approach and strong investor network provide startups with the essential tools and guidance needed for exponential growth.",VC Firm,Slovenia,http://www.silicongardens.com,"software, apps, e-commerce, SaaS, AI, B2B",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/silicon-gardens/,[email protected],SI
SRC,https://www.eu-startups.com/investor/src/,"SRC is an information technology company that digitally transforms corporations, financial institutions and the public administration. We accomplish this by combining outstanding expertise with continuous development that stays in stride with cutting edge information technologies across all platforms. We help successful businesses and government offices improve the efficiency of operating activities significantly with a highly qualified team of 310 experts, the most advanced information technology and 31 years of experience in optimizing the most demanding business processes from all areas of the economy and public administration. The SRC group comprises companies from Slovenia and Serbia, using the combined knowledge and experiences of the entire group on local markets.",VC Firm,Slovenia,https://www.src.si/,"security, software solutions, healthcare IT, infrastructure",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/srcsi/,[email protected],SI
Capital Genetics,https://www.eu-startups.com/investor/capital-genetics/,"Capital Genetics (or in short CapGen) is a fast-growing, privately-owned boutique advisory firm specializing in corporate finance, growth capital, and business and real estate valuation in Slovenia and the Southeastern region. Built around an experienced team of partners and employees with decades of experience in the CEE and SEE regions, CapGen offers an integrated platform of solutions tailored to address their clients' most difficult problems and key challenges.",VC Firm,Slovenia,https://www.capitalgenetics.com,"webhosting, analytics, Finance",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/capitalgenetics,[email protected],SI
Ljubljana University Incubator,https://www.eu-startups.com/investor/ljubljana-university-incubator/,"Ljubljana University Incubator are personal entrepreneurship coaches. The University of Ljubljana founded LUI with the aim of transferring the university's technological and non-technological knowledge to the economy. The incubator, which is both part of the university and the entrepreneurial ecosystem, supports the university's core activities by helping entrepreneurs connected to UL.",Accelerator,Slovenia,http://lui.si,"Financial Services, Lending and Investments, Coaching, Training",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/ljubljana-university-incubator/,[email protected],SI
Labena Ventures,https://www.eu-startups.com/investor/labena-ventures/,"Labena Ventures is a biotech, healthtech pharmatech , food and environment accelerator. We take high-potential startup ventures on a fast-paced learning journey to help them explore and access business opportunities. Through highly-customized programmes, dedicated mentoring experts, and access to our vast network of business partners and investors, we help startups from all stages and across various industries on their way to international success.",Accelerator,Slovenia,https://labenaventures.com,"Biotech, Healthtech, Pharmatech, Accelerator, Investment",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/labena-ventures,[email protected],SI
Kolektor Ventures,https://www.eu-startups.com/investor/kolektor-ventures/,"Kolektor Ventures is a corporate venture capital fund of the closed type established by Kolektor. Kolektor boasts tradition in highly specialized industrial production. On its path of half a century Kolektor evolved into a global company with its seat in Slovenia and a wide spread net of companies and subsidiaries in Europe, in the USA and in Asia.",Accelerator,Slovenia,https://www.kolektor.com/en,"Motor Vehicle, Manufacturing, Mobility, Technologies, Construction",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/kolektor/,[email protected],SI
Hekovnik Startup School,https://www.eu-startups.com/investor/hekovnik-startup-school/,"Hekovnik Startup School provides targeted accelerator courses to hackers, entrepreneurs and academia to help them change the world. Providing focused accelerator programs to students, entrepreneurs, and academia to help them change the world. Taking teams in at their idea stage we offer programs for every stage of their development, up to the moment where they receive an investment.",Accelerator,Slovenia,http://hekovnik.com,"Entrepreneurship, High tech, E-Learning, Education",0-€100k,Pre-Seed / Seed,http://www.linkedin.com/company/hekovnik,[email protected],SI
ABC Accelerator,https://www.eu-startups.com/investor/abc-accelerator/,"Award winning hiper-personal, fully online and privatly owned business accelerator, focusing on your traction, revenue and next investments. Business accelerator focused on revenue and traction. Accepting applications throughout the year. Criteria: MVP, rev. We scout and raise the top tech talent to fulfill the industry’s needs.",Accelerator,Slovenia,https://abc-accelerator.com,"B2B, SaaS, Accelerator, Innovation",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/abc-accelerator,[email protected],SI
