name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country
Tracker â Manager for Bluesky,https://www.eu-startups.com/directory/tracker-manager-for-bluesky/,Greece,"The must-have companion app for Bluesky users. Track followers in real-time, manage blocks/mutes, and grow your network with advanced filtering and bulk actions. 13K+ downloads, 4.7⭐ rating.","Bsky Tracker is the ultimate companion app for Bluesky users, trusted by 13,000+ active users with a 4.7-star rating. Get real-time notifications when someone follows or unfollows you, manage blocks and mutes effectively, and discover who has blocked you. The app features advanced filtering based on keywords, follower count, engagement levels, and activity. Bulk follow/unfollow capabilities help you efficiently manage your network, while detailed post analytics provide insights into reach, replies, and engagement for any user. Track your relationship history to see when you followed someone and when they followed back. 100% free forever with privacy-first design.",Chania,"bluesky, bluesky tracker, bluesky analytics, bluesky manager",No funding announced yet,2025,blueskyapp.app,Active,https://www.linkedin.com/in/pavlostze/,GR
MaterDome,https://www.eu-startups.com/directory/materdome/,Greece,"MaterDome is a company specialized on consulting, development and manufacturing of unique components and devices. The knowledge of advanced manufacturing processes, research methods, optimization algorithms, computational-based designs and advanced materials makes possible to create new or improved components, tools and applications for industrial uses that are designed specifically to meet the requirements and improve the functionality of your parts, products, production lines and services.

Our expertise can be applied to various industries like consumer and industrial goods, maritime, automotive, energy, aerospace and defense, giving the opportunity for our clients to gain competitive advantage.",,Patras,"additive manufacturing, consulting, technical services",No funding announced yet,2018,https://www.materdome3d.com/,Active,https://www.linkedin.com/company/materdome,GR
New Era Hotels,https://www.eu-startups.com/directory/new-era-hotels/,Greece,"We are defining the future of city micro-hotels. We have cracked the code for a sustainable, yet highly profitable short stay city hotel concept by combining automation technology, creative design and refined simplicity and by putting the modern city tourist in the center of it all. Our prototype hotel (Cabins Sleeping) was launched in less than 3 months, reaches >75% capacity year long and has been rated 9.2 in its first year of operation.",,Athens,"Hospitality, Sustainable, Profitable",Between €100K-€500K,2025,https://newerahotels.co,Active,https://www.linkedin.com/company/newerahotels/about/,GR
Cabins Sleeping,https://www.eu-startups.com/directory/cabins-sleeping/,Greece,"-Award-winning micro hotel brand from Greece, built for fast growth across Europe.
-Give back to locals: 8 apartments returned to residents in over touristed cities.
-Fully automated operations and cross-selling  via integrated apps: bookings, check-in/out, guest support dynamic pricing etc .",,Athens,"Fully automated operations, Cross-selling via integrated app, Smart design",Between €100K-€500K,2024,https://cabins.gr/,Active,,GR
Levart App,https://www.eu-startups.com/directory/levart-app/,Greece,"Levart is a social travel app that simplifies group trip planning by helping users co-create activity bucket lists based on their shared preferences. Using a swipeable interface, travelers vote on personalized suggestions powered by AI, which analyzes user interests, distances, and reviews. Our progressive web app integrates Google services to deliver a seamless and lightweight experience.",,Thessaloniki,"IT Services, IT Consulting, Time-consuming debates, Endless research",Between €100K-€500K,2023,https://levart.app/,Active,https://www.linkedin.com/company/levart-app/,GR
Uplodio,https://www.eu-startups.com/directory/uplodio/,Greece,"AI Agent that helps you scale to 100s of creators on autopilot, without any manual work.","Uplodio's AI Agent ""Amy"" helps brands scale influencer & affiliate marketing to 100s of creators on autopilot, without any extra manual work.
Amy onboards into your team as a new member and:
-Finds relevant and qualified creators for your brand
-Reaches out, handles negotiation and questions
-Onboards them into the campaign
-Activates and engages with current creator/affiliate list
Brands can now 10x their programs and cut their manual work while 85% by hiring Amy",Athens,"ai-agent,influencer-marketing, affiliate-marketing",Between €100K-€500K,2023,https://uplodio.com,Active,https://www.linkedin.com/in/konstantinos-ketselidis/,GR
AfterSalesPro,https://www.eu-startups.com/directory/aftersalespro/,Greece,"On a mission to level-up last-mile
AfterSalePro offers a complete solution (SaaS) for the creation and management of shipments sent through all known courier companies operating in Greece. Smart management and tracking of shipments sent via courier. The application offers automatic interconnection of all known e-commerce platforms directly with the API system of courier companies. Among other things, it supports bulk creation of vouchers, smart tracking of shipments (real-time tracking), sending sms to the recipient, simultaneous use of two or more courier companies, as well as many other functions that improve the operations of a retail business in the critical after sales part.",,Athens,"SaaS, Shipping, Ecommerce software, Last-Mile, Agreegator",No funding announced yet,2018,https://aftersalespro.com,Active,https://www.linkedin.com/company/aftersalespro,GR
Tenkai Tech,https://www.eu-startups.com/directory/tenkai-tech/,Greece,"We streamline web data extraction by transforming unstructured content from any website into clean, structured data — effortlessly and without writing a single line of code. Powered by advanced AI and large language models (LLMs), our platform accelerates the data collection process, enabling users to create unified, consistent datasets across hundreds of diverse websites. Whether you're monitoring markets, aggregating product listings, or powering AI models, we make web data instantly accessible, accurate, and scalable.","We make web data extraction simple, fast, and scalable — no coding required. Our AI-powered platform, enhanced by cutting-edge large language models (LLMs), transforms unstructured content from any website into structured, clean data in just a few clicks. Whether you're conducting research, building products, or feeding data into your AI systems, we handle the complexity so you can focus on insights and innovation.
With support for indexing, sitemaps, advanced scraping techniques, and flexible data extraction tools, our platform enables anyone — from analysts to product teams — to collect and unify data from hundreds of different websites effortlessly.
Use Cases:
Build your own aggregator: Launch product, news, or real estate aggregators faster than ever — no need for complex backend scraping logic.
Revolutionize desktop research: Turn traditional manual web research into a smooth, enjoyable experience with AI-assisted extraction.
Flexible scraping options: Choose from smart indexing, sitemap parsing, structured content extraction, and more.
Google Maps Data Access: Instantly access global location data, including business details, contact info, reviews, and metadata — all cleanly structured and ready for use.
At the core of our solution is the Agentic Web Extractor, a fully autonomous agent that navigates, finds, and collects the right data for you. It understands your goals and does the hard work of web browsing, identifying relevant content, and delivering it as structured datasets — ready for analysis, integration, or distribution.
Whether you're a startup, data team, researcher, or enterprise, we empower you to automate your data pipeline and unlock insights at internet scale — all without touching code.",Athens,"Data Scraping, AI, LLM, Web Data",No funding announced yet,2024,https://tenkai.tech,Active,https://www.linkedin.com/company/tenkaitech,GR
AviSense.ai,https://www.eu-startups.com/directory/avisense-ai/,Greece,"Utilizing our extensive background and years of research in the field of applied AI, AviSense brings forth perception technologies that bolster safety within the broad consumer vehicle market. Our goal is to ensure that the development, testing, and deployment of Autonomous Vehicles (AV) remain secure and sustainable. We offer a comprehensive suite that enables AVs to effectively comprehend their surroundings, encompassing the detection and tracking of all pertinent objects and road users. Notably, we enhance driver's experience via dynamic maps and detailed information about traffic, road hazards, fuel options, and parking facilities through eXtended Reality (XR) Human-Machine Interfaces (HMIs), thereby assisting drivers in reaching their destinations safely, comfortably, and punctually.",,Patras,"Autonomous Vehicles, Software Development, ehicle technology",No funding announced yet,2020,https://avisense.ai/,Active,https://www.linkedin.com/company/avisense/about/,GR
AlongRoute Data,https://www.eu-startups.com/directory/alongroute-data/,Greece,"AlongRoute operates a B2B model, delivering ultra-precise, AI-powered marine weather forecasts to maritime software providers and stakeholders. These forecasts, based on advanced physics-informed AI models, integrate near real-time Earth Observation data every three hours, ensuring high accuracy and resolution. By improving the performance of weather-based routing systems, AlongRoute enables optimized routes that align with observed sea conditions, reducing emissions, fuel costs, and operational inefficiencies. Offered with a hybrid pricing model, AlongRoute’s solution provides a significant competitive advantage to customers (maritime software providers), while helping end-users (shipping stakeholders) achieve compliance with decarbonization regulations and fostering confidence in digital maritime optimization systems.",,Thessaloniki,"marine weather, forecast, supply chain",Between €100K-€500K,2025,https://alongroute.com/,Active,https://www.linkedin.com/company/alongroute/,GR
