name,link,category,businessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country,longBusinessDescription
Rankscale.ai,https://www.eu-startups.com/directory/rankscaleai/,Austria,"Rankscale is a pioneering SaaS platform that helps brands, agencies, and businesses monitor and optimize their presence across AI search engines such as ChatGPT, Perplexity, Claude, Gemini, DeepSeek, Copilot, and more. Our GEO (Generative Engine Optimization) technology delivers real-time tracking, competitor benchmarking, citation analysis, and sentiment insights, enabling companies to understand how AI engines interpret and present their brand.

With an intuitive dashboard, Rankscale consolidates visibility scores, brand mentions, and competitor performance into one centralized hub. From auditing how AI understands your website to uncovering gaps and optimization opportunities, Rankscale provides actionable recommendations to improve AI search visibility.",Vienna,"Ai Visibility tracking, Ai search, Ai rank tracking, Ai Visibility Tool",No funding announced yet,2025,https://rankscale.ai,Active,https://www.linkedin.com/company/rankscale-ai/,AT,
OpenSense Labs GmbH,https://www.eu-startups.com/directory/opensense-labs-gmbh/,Austria,"OpenSense Labs ist eine globale Agentur für digitale Transformation, die Unternehmen mit Drupal- und KI-basierten Lösungen unterstützt. Gegründet 2017 bieten wir ein umfassendes Leistungspaket. Wir sind Experten für Website-Redesigns und die Entwicklung maßgeschneiderter Lösungen für spezifische Geschäftsanforderungen.",Frankfurt am Main,"Digitale Transformation Agentur, Drupal Entwicklungsdienstleistungen, KI-Lösungen für Unternehmen",No funding announced yet,2017,https://opensenselabs.com/de,Active,https://www.linkedin.com/company/opensenselabs/,AT,"OpenSense Labs ist eine globale Agentur für digitale Transformation, die Unternehmen mit Drupal- und KI-basierten Lösungen unterstützt. Gegründet 2017 bieten wir ein umfassendes Leistungspaket. Wir sind Experten für Website-Redesigns und die Entwicklung maßgeschneiderter Lösungen für spezifische Geschäftsanforderungen. 
Das sind unsere Stärken:
• Design und Implementierung neuer Drupal-Projekte, einschließlich entkoppelter Implementierungen.
• Migration und Upgrade bestehender Drupal-Websites.
• Entwicklung verantwortungsvoller, auf Geschäftsanforderungen zugeschnittener KI-Lösungen.
• Bereitstellung von Cloud-Engineering- und DevOps-Services.
• Laufender Support, Wartung und Erweiterungen für Drupal- und KI-Lösungen.
• Headless-CMS-Implementierungen. 
Wir sind stolz darauf, Kunden wie AES, ALLIANS, ATOM, Claritis Digital, Earth Journalism Network, Farm Journal, Paramount Software Solutions, sitwright.io und StemFuse zu betreuen. 
Unser Team aus Drupal-Entwicklern, Designern, Architekten, Projektmanagern und Front-End-Experten beherrscht Technologien wie Angular, React, Next.js, Node.js, Python, Flutter, PHP und AWS. 
Wir sind branchen- und technologieunabhängige Dienstleister – wir haben für Kunden aus den Bereichen Fintech, Edtech, Energie, Non-Profit und anderen Sektoren außergewöhnliche Ergebnisse erzielt."
Krajete,https://www.eu-startups.com/directory/krajete/,Austria,"Krajete delivers innovative NOx reduction systems and NOx control technologies designed to capture and valorise emissions across industries. By using nature-inspired methods like adsorber-based purification and advanced bioprocesses, we help clients go beyond compliance. Our scalable NOx removal solutions serve as a powerful alternative to SCR systems, enabling businesses to transform harmful emissions into valuable materials. Whether tackling regulatory pressure or seeking sustainable innovation, Krajete supports a cleaner future by turning NOx into opportunity.","Pasching, Austria","carbon capture, nox control, nox removal, cleantech",No funding announced yet,2025,https://krajete.com,Active,https://www.linkedin.com/company/krajete-gmbh/,AT,"Krajete delivers NOx reduction systems and NOx control technologies that let industrial sites meet ultra-low emission limits without the cost and complexity of catalytic processes such as SCR or SNCR. By capturing pollutants instead of burning or dosing them away, our skid-mounted equipment runs at low temperatures and eliminates the need for ammonia, urea or precious-metal catalysts—cutting energy use, preventing ammonia slip and slashing maintenance. That means fast compliance with the tougher caps set by the EU’s revised Industrial Emissions Directive, the U.S. EPA’s Good Neighbor Plan and the EU 2024 National Emission Reduction Commitments report.
Our modular adsorber slots straight into the exhaust line, first trapping NOx and, with interchangeable cartridges, also removing SOx and bulk CO₂. A short, low-grade-heat pulse regenerates the bed in place, extending adsorbent life over thousands of cycles and keeping downtime to a minimum. When carbon pricing bites, the same platform accepts an optional biomethanation reactor that blends captured CO₂ with green hydrogen to yield pipeline-grade methane, turning a disposal cost into a revenue-ready fuel.
These results rest on two core strengths: tailored adsorption materials tuned for selective, high-efficiency capture and microbiology that transforms waste gases into valuable molecules. Deployed across power generation, waste-to-energy, chemicals, mobility testing and marine engines, our solutions consistently achieve single-digit-ppm NOx with predictable operating costs—giving clients one trusted supplier for air compliance, carbon valorisation and fuel resilience.
Engagement is straightforward. We take a gas sample, run a detailed analysis and performance simulation, then issue a guaranteed removal figure with a fixed service schedule. Once approved, the same engineers design, build and install the skid, train plant staff and activate remote monitoring so results stay transparent. The outcome is assured compliance, lower OPEX than SCR/SNCR and a clear path to monetise captured carbon—delivered under a single contract with Krajete."
Submit Ninja,https://www.eu-startups.com/directory/submit-ninja/,Austria,Create CSAT and NPS survey forms,Vienna,"Marketing, Voice of customer, Customer Feedback, Surveys",No funding announced yet,2025,https://submit.ninja,Active,,AT,"Submit.ninja is a fast, no-frills tool for collecting NPS and CSAT feedback. It’s built for teams who want structured insights without the overhead of a full survey platform.
You can create a branded feedback form in seconds, no signup required. Just pick a template, choose your colors, and define what metadata (like user ID, campaign, or plan) you want to capture. When you're ready, embed the form directly on your site or app, or share it via a full-page link.
Responses appear in a simple dashboard where you can track trends over time. Set up email notifications to stay on top of new feedback, or forward them into your CRM or helpdesk automatically. Need to dig deeper? Export everything as a CSV.
Submit.ninja works in multiple languages and keeps the experience on-brand. It’s lightweight, easy to try, and built to get you meaningful feedback, fast."
Catchon tv,https://www.eu-startups.com/directory/catchon-tv/,Austria,"Catchon TV#1 Best IPTV Service Providers : Satisfy your entertainment obsession with various channels, great streaming, and a user friendly interface.",Catchon,catchon,No funding announced yet,2025,https://catchon-tv.me/,,,AT,
Foto ATM,https://www.eu-startups.com/directory/foto-atm/,Austria,Instant photo booths for instant audience impact.,Lombard,Photo Booth Rentals,Between €1-€100K,2018,http://fotoatm.com,Active,,AT,"Foto ATM delivers next-generation photo booth kiosks and software that help venues and businesses increase event revenue, engagement, and visibility. Our fully automated kiosks are sleek, easy to install, and packed with features that create memorable, sharable experiences for guests.
Our standalone software can be added to any device, allowing complete customization and branding. With built-in analytics, social media sharing, and lead capture tools, Foto ATM transforms every photo session into a marketing opportunity."
FINMAN â Finance Manager,https://www.eu-startups.com/directory/finman-finance-manager/,Austria,"Finman is an AI-powered finance tool for freelancers and sole proprietors, helping automate invoice processing, payment matching, and financial recordkeeping.",Klein Heinrichschlag,"finance, accounting, automation, ai",No funding announced yet,2025,https://www.finman.at,Active,https://www.linkedin.com/company/finman-at/,AT,"Finman is a smart finance management platform built specifically for freelancers and solo entrepreneurs. With AI at its core, Finman automates the tedious parts of managing income and expenses. Users can upload invoices via file upload, email, or bulk import - Finman extracts all relevant information, creates full records, and matches them to connected bank transactions. When a match is found, the system marks the booking as paid and sets the payment date automatically. This allows users to save significant time while staying in control of their finances. Finman is designed for simplicity, speed, and reliability - no accounting knowledge required."
Orbit Flows,https://www.eu-startups.com/directory/orbit-flows/,Austria,Orbit Flows: Template Training for Enhanced Precisio,Scottsdale,"saas, content production",No funding announced yet,2025,https://www.orbitflows.com/,Active,,AT,"Orbit Flows enables users to train their templates over time, improving their effectiveness and precision. By providing examples and detailed feedback, users can refine templates to better meet their content needs. This training process enhances the quality of outputs and ensures that templates evolve to accommodate changing requirements."
Begin Rebirth,https://www.eu-startups.com/directory/begin-rebirth/,Austria,"Begin Rebirth empowers individuals to live longer, healthier lives by restoring the foundation of human health—the microbiome. Our advanced formula, RE-1™, blends the best of modern science and nature.

This 3-in-1 eubiotic supports not just your gut, but your immunity, skin, lungs, and mental health as well—making it a truly holistic solution.",Milsons Point,"Startup, Shopify, Health Supplement, Gut Health, Travel, Beauty, Immune System",No funding announced yet,2023,https://www.beginrebirth.com/,Active,,AT,"What sets RE-1™ apart is its unmatched potency and purity. Each dose delivers a powerhouse of 500 billion CFUs and immune-supporting postbiotics.
It’s especially helpful for those with weakened immunity, digestive discomfort, or skin issues—and it’s designed for real results you can feel."
TAGBASE,https://www.eu-startups.com/directory/tagbase/,Austria,"Tagbase operates as a web platform enabling buyers to verify the authenticity of physical products using NFC technology without requiring a dedicated mobile application. Its innovative approach leverages blockchain integration to provide proof of authenticity and ownership, creating unique digital identities for physical objects. The platform employs a freemium business model, offering pre-configured NFC tags, premium subscription services, and ad revenue on non-premium verification pages​.",Vienna,"Software Development, Product Authenticity, Analytics",Between €100K-€500K,2025,https://tagbase.io,Active,https://www.linkedin.com/company/tagbase-io/,AT,
